    S:oredict.screwAbyssalnite.name=Винтик (Abyssalnite)
    S:oredict.screwKnightmetal.name=Винтик (Knightmetal)
    S:oredict.screwKomatiite.name=Винтик (Komatiite)
    S:oredict.screwKreknorite.name=Винтик (Kreknorite)
    S:oredict.screwLanthanium.name=Винтик (Lanthanium)
    S:oredict.screwLapis.name=Винтик (Lapis)
    S:oredict.screwLarch.name=Винтик (Larch)
    S:oredict.screwLavenderQuartz.name=Винтик (Lavender Quartz)
    S:oredict.screwLawrencium.name=Винтик (Lawrencium)
    S:oredict.screwLazurite.name=Винтик (Lazurite)
    S:oredict.screwLead.name=Винтик (Lead)
    S:oredict.screwLemurite.name=Винтик (Lemurite)
    S:oredict.screwLicorice.name=Винтик (Licorice)
    S:oredict.screwLignite.name=Винтик (Lignite Coal)
    S:oredict.screwLigniteCoke.name=Винтик (Lignite Coke)
    S:oredict.screwLimestone.name=Винтик (Limestone)
    S:oredict.screwLimewood.name=Винтик (Limewood)
    S:oredict.screwLithium.name=Винтик (Lithium)
    S:oredict.screwLithium6.name=Винтик (Lithium-6)
    S:oredict.screwLivermorium.name=Винтик (Livermorium)
    S:oredict.screwLivingrock.name=Винтик (Livingrock)
    S:oredict.screwLivingwood.name=Винтик (Livingwood)
    S:oredict.screwLocust.name=Винтик (Locust)
    S:oredict.screwLogwood.name=Винтик (Logwood)
    S:oredict.screwLonsdaleite.name=Винтик (Lonsdaleite)
    S:oredict.screwLudicrite.name=Винтик (Ludicrite)
    S:oredict.screwLumium.name=Винтик (Lumium)
    S:oredict.screwLutetium.name=Винтик (Lutetium)
    S:oredict.screwMaclura.name=Винтик (Maclura)
    S:oredict.screwMagentaFluorite.name=Винтик (Magenta Fluorite)
    S:oredict.screwMagic.name=Винтик (Magic)
    S:oredict.screwMagicwood.name=Винтик (Magicwood)
    S:oredict.screwMagnalium.name=Винтик (Magnalium)
    S:oredict.screwMagnesium.name=Винтик (Magnesium)
    S:oredict.screwMahoe.name=Винтик (Mahoe)
    S:oredict.screwMahogany.name=Винтик (Mahogany)
    S:oredict.screwMalachite.name=Винтик (Malachite)
    S:oredict.screwManaDiamond.name=Винтик (Mana Diamond)
    S:oredict.screwManaQuartz.name=Винтик (Mana Quartz)
    S:oredict.screwManasteel.name=Винтик (Manasteel)
    S:oredict.screwManganese.name=Винтик (Manganese)
    S:oredict.screwMangrove.name=Винтик (Mangrove)
    S:oredict.screwManyullyn.name=Винтик (Manyullyn)
    S:oredict.screwMaple.name=Винтик (Maple)
    S:oredict.screwMarble.name=Винтик (Marble)
    S:oredict.screwMarsSand.name=Винтик (Mars Sand)
    S:oredict.screwMarsStone.name=Винтик (Mars)
    S:oredict.screwMarshmallow.name=Винтик (Marshmallow)
    S:oredict.screwMauftrium.name=Винтик (Mauftrium)
    S:oredict.screwMaxixe.name=Винтик (Maxixe)
    S:oredict.screwMeitnerium.name=Винтик (Meitnerium)
    S:oredict.screwMelodicAlloy.name=Винтик (Melodic Alloy)
    S:oredict.screwMendelevium.name=Винтик (Mendelevium)
    S:oredict.screwMercury.name=Винтик (Mercury)
    S:oredict.screwMeteoricBlackSteel.name=Винтик (Meteoric Black Steel)
    S:oredict.screwMeteoricBlueSteel.name=Винтик (Meteoric Blue Steel)
    S:oredict.screwMeteoricIron.name=Винтик (Meteoric Iron)
    S:oredict.screwMeteoricRedSteel.name=Винтик (Meteoric Red Steel)
    S:oredict.screwMeteoricSteel.name=Винтик (Meteoric Steel)
    S:oredict.screwMeteorite.name=Винтик (Meteorite)
    S:oredict.screwMeutoite.name=Винтик (Meutoite)
    S:oredict.screwMidasium.name=Винтик (Midasium)
    S:oredict.screwMigmatite.name=Винтик (Migmatite)
    S:oredict.screwMilkyQuartz.name=Винтик (Milky Quartz)
    S:oredict.screwMingrade.name=Винтик (Red Copper)
    S:oredict.screwMithril.name=Винтик (Mithril)
    S:oredict.screwMolybdenite.name=Винтик (Molybdenite)
    S:oredict.screwMolybdenum.name=Винтик (Molybdenum)
    S:oredict.screwMonazite.name=Винтик (Monazite)
    S:oredict.screwMoonStone.name=Винтик (Moon)
    S:oredict.screwMoonTurf.name=Винтик (Moon Turf)
    S:oredict.screwMoonstone.name=Винтик (Moonstone)
    S:oredict.screwMorganite.name=Винтик (Morganite)
    S:oredict.screwMoscovium.name=Винтик (Moscovium)
    S:oredict.screwMuspelheimPower.name=Винтик (Muspelheim Power)
    S:oredict.screwNaquadah.name=Винтик (Naquadah)
    S:oredict.screwNaquadahEnriched.name=Винтик (Enriched Naquadah)
    S:oredict.screwNaquadria.name=Винтик (Naquadria)
    S:oredict.screwNeodymium.name=Винтик (Neodymium)
    S:oredict.screwNeodymiumMagnetic.name=Винтик (Magnetic Neodymium)
    S:oredict.screwNeptunium.name=Винтик (Neptunium)
    S:oredict.screwNetherBrick.name=Винтик (Nether Brick)
    S:oredict.screwNetherQuartz.name=Винтик (Nether Quartz)
    S:oredict.screwNetherStar.name=Винтик (Nether Star)
    S:oredict.screwNetherite.name=Винтик (Netherite)
    S:oredict.screwNetherizedDiamond.name=Винтик (Netherized Diamond)
    S:oredict.screwNetherrack.name=Винтик (Netherrack)
    S:oredict.screwNichrome.name=Винтик (Nichrome)
    S:oredict.screwNickel.name=Винтик (Nickel)
    S:oredict.screwNiflheimPower.name=Винтик (Niflheim Power)
    S:oredict.screwNihonium.name=Винтик (Nihonium)
    S:oredict.screwNikolineAlloy.name=Винтик (Nikoline Alloy)
    S:oredict.screwNikolite.name=Винтик (Nikolite)
    S:oredict.screwNiobium.name=Винтик (Niobium)
    S:oredict.screwNiobiumNitride.name=Винтик (Niobium Nitride)
    S:oredict.screwNiobiumTitanium.name=Винтик (Niobium Titanium)
    S:oredict.screwNiter.name=Винтик (Niter)
    S:oredict.screwNobelium.name=Винтик (Nobelium)
    S:oredict.screwOak.name=Винтик (Oak)
    S:oredict.screwObsidian.name=Винтик (Obsidian)
    S:oredict.screwObsidianRefined.name=Винтик (Refined Obsidian)
    S:oredict.screwObsidianSteel.name=Винтик (Obsidian Steel)
    S:oredict.screwOceanJasper.name=Винтик (Ocean Jasper)
    S:oredict.screwOctine.name=Винтик (Octine)
    S:oredict.screwOganesson.name=Винтик (Oganesson)
    S:oredict.screwOgrewood.name=Винтик (Ogrewood)
    S:oredict.screwOlivewood.name=Винтик (Olivewood)
    S:oredict.screwOlivine.name=Винтик (Olivine)
    S:oredict.screwOnyxBlack.name=Винтик (Black Onyx)
    S:oredict.screwOnyxRed.name=Винтик (Red Onyx)
    S:oredict.screwOpal.name=Винтик (Opal)
    S:oredict.screwOrangeFluorite.name=Винтик (Orange Fluorite)
    S:oredict.screwOrangeSapphire.name=Винтик (Orange Sapphire)
    S:oredict.screwOrichalcum.name=Винтик (Orichalcum)
    S:oredict.screwOriharukon.name=Винтик (Oriharukon)
    S:oredict.screwOsmiridium.name=Винтик (Osmiridium)
    S:oredict.screwOsmiumElemental.name=Винтик (Osmium)
    S:oredict.screwOureclase.name=Винтик (Oureclase)
    S:oredict.screwPEZ.name=Винтик (PEZ)
    S:oredict.screwPadauk.name=Винтик (Padauk)
    S:oredict.screwPalis.name=Винтик (Palis)
    S:oredict.screwPalladium.name=Винтик (Palladium)
    S:oredict.screwPalm.name=Винтик (Palm)
    S:oredict.screwPapayawood.name=Винтик (Papayawood)
    S:oredict.screwPeanutWood.name=Винтик (Peanut Wood)
    S:oredict.screwPearwood.name=Винтик (Pearwood)
    S:oredict.screwPentlandite.name=Винтик (Pentlandite)
    S:oredict.screwPetrifiedWood.name=Винтик (Petrified Wood)
    S:oredict.screwPetroleumCoke.name=Винтик (Petroleum Coke)
    S:oredict.screwPhosphorite.name=Винтик (Phosphorite)
    S:oredict.screwPhosphorus.name=Винтик (Phosphorus)
    S:oredict.screwPigIron.name=Винтик (Pig Iron)
    S:oredict.screwPine.name=Винтик (Pine)
    S:oredict.screwPinkDiamond.name=Винтик (Pink Diamond)
    S:oredict.screwPinkFluorite.name=Винтик (Pink Fluorite)
    S:oredict.screwPinkIvory.name=Винтик (Pink Ivory)
    S:oredict.screwPinkschist.name=Винтик (Pink Schist)
    S:oredict.screwPitstone.name=Винтик (Pitstone)
    S:oredict.screwPlastic.name=Винтик (Plastic)
    S:oredict.screwPlatinum.name=Винтик (Platinum)
    S:oredict.screwPlumwood.name=Винтик (Plumwood)
    S:oredict.screwPlutonium.name=Винтик (Plutonium)
    S:oredict.screwPlutonium238.name=Винтик (Plutonium-238)
    S:oredict.screwPlutonium239.name=Винтик (Plutonium-239)
    S:oredict.screwPlutonium240.name=Винтик (Plutonium-240)
    S:oredict.screwPlutonium241.name=Винтик (Plutonium-241)
    S:oredict.screwPlutonium243.name=Винтик (Plutonium-243)
    S:oredict.screwPolonium.name=Винтик (Polonium)
    S:oredict.screwPoplar.name=Винтик (Poplar)
    S:oredict.screwPotassium.name=Винтик (Potassium)
    S:oredict.screwPraseodymium.name=Винтик (Praseodymium)
    S:oredict.screwPrismane.name=Винтик (Prismane)
    S:oredict.screwPrismarine.name=Винтик (Light Prismarine)
    S:oredict.screwPrismarineDark.name=Винтик (Dark Prismarine)
    S:oredict.screwPrometheum.name=Винтик (Prometheum)
    S:oredict.screwPromethium.name=Винтик (Promethium)
    S:oredict.screwProtactinium.name=Винтик (Protactinium)
    S:oredict.screwPulsatingIron.name=Винтик (Pulsating Iron)
    S:oredict.screwPumice.name=Винтик (Pumice)
    S:oredict.screwPurpleAlloy.name=Винтик (Purple Alloy)
    S:oredict.screwPurpleSapphire.name=Винтик (Purple Sapphire)
    S:oredict.screwPurpleheart.name=Винтик (Purpleheart)
    S:oredict.screwPyrite.name=Винтик (Pyrite)
    S:oredict.screwPyrope.name=Винтик (Pyrope)
    S:oredict.screwQuartzBlack.name=Винтик (Black Quartz)
    S:oredict.screwQuartzite.name=Винтик (Quartzite)
    S:oredict.screwRadium.name=Винтик (Radium)
    S:oredict.screwRainbowEucalyptus.name=Винтик (Rainbow Eucalyptus)
    S:oredict.screwRainbowood.name=Винтик (Rainbowood)
    S:oredict.screwRainforestJasper.name=Винтик (Rainforest Jasper)
    S:oredict.screwRealgar.name=Винтик (Realgar)
    S:oredict.screwRedAlloy.name=Винтик (Red Alloy)
    S:oredict.screwRedAventurine.name=Винтик (Red Aventurine)
    S:oredict.screwRedFluorite.name=Винтик (Red Fluorite)
    S:oredict.screwRedJasper.name=Винтик (Red Jasper)
    S:oredict.screwRedMatter.name=Винтик (Red Matter)
    S:oredict.screwRedMeteor.name=Винтик (Red Meteor)
    S:oredict.screwRedPhosphorus.name=Винтик (Red Phosphorus)
    S:oredict.screwRedQuartz.name=Винтик (Red Quartz)
    S:oredict.screwRedSteel.name=Винтик (Red Steel)
    S:oredict.screwRedrock.name=Винтик (Redrock)
    S:oredict.screwRedstone.name=Винтик (Redstone)
    S:oredict.screwRedstoneAlloy.name=Винтик (Redstone Alloy)
    S:oredict.screwRedstonia.name=Винтик (Redstonia)
    S:oredict.screwRedwood.name=Винтик (Redwood)
    S:oredict.screwRhenium.name=Винтик (Rhenium)
    S:oredict.screwRhodium.name=Винтик (Rhodium)
    S:oredict.screwRhyolite.name=Винтик (Rhyolite)
    S:oredict.screwRoentgenium.name=Винтик (Roentgenium)
    S:oredict.screwRoseGold.name=Винтик (Rose Gold)
    S:oredict.screwRosewood.name=Винтик (Rosewood)
    S:oredict.screwRowan.name=Винтик (Rowan)
    S:oredict.screwRubber.name=Винтик (Rubber)
    S:oredict.screwRubidium.name=Винтик (Rubidium)
    S:oredict.screwRubracium.name=Винтик (Rubracium)
    S:oredict.screwRuby.name=Винтик (Ruby)
    S:oredict.screwRuthenium.name=Винтик (Ruthenium)
    S:oredict.screwRutherfordium.name=Винтик (Rutherfordium)
    S:oredict.screwSacredOak.name=Винтик (Sacred Oak)
    S:oredict.screwSakura.name=Винтик (Sakura)
    S:oredict.screwSamarium.name=Винтик (Samarium)
    S:oredict.screwSanguinite.name=Винтик (Sanguinite)
    S:oredict.screwSapphire.name=Винтик (Sapphire)
    S:oredict.screwScabyst.name=Винтик (Scabyst)
    S:oredict.screwScandium.name=Винтик (Scandium)
    S:oredict.screwSeaborgium.name=Винтик (Seaborgium)
    S:oredict.screwSequoia.name=Винтик (Sequoia)
    S:oredict.screwShadowIron.name=Винтик (Shadow Iron)
    S:oredict.screwShadowSteel.name=Винтик (Shadow Steel)
    S:oredict.screwShale.name=Винтик (Shale)
    S:oredict.screwShimmerwood.name=Винтик (Shimmerwood)
    S:oredict.screwSignalum.name=Винтик (Signalum)
    S:oredict.screwSilicon.name=Винтик (Silicon)
    S:oredict.screwSiltstone.name=Винтик (Siltstone)
    S:oredict.screwSilver.name=Винтик (Silver)
    S:oredict.screwSilverPine.name=Винтик (Silver Pine)
    S:oredict.screwSilverwood.name=Винтик (Silverwood)
    S:oredict.screwSkyroot.name=Винтик (Skyroot)
    S:oredict.screwSlate.name=Винтик (Slate)
    S:oredict.screwSlimyBone.name=Винтик (Slimy Bone)
    S:oredict.screwSmokeyQuartz.name=Винтик (Smokey Quartz)
    S:oredict.screwSodalite.name=Винтик (Sodalite)
    S:oredict.screwSodium.name=Винтик (Sodium)
    S:oredict.screwSolderingAlloy.name=Винтик (Soldering Alloy)
    S:oredict.screwSoularium.name=Винтик (Soularium)
    S:oredict.screwSpaceStone.name=Винтик (Space)
    S:oredict.screwSpectreIron.name=Винтик (Spectre Iron)
    S:oredict.screwSpessartine.name=Винтик (Spessartine)
    S:oredict.screwSphalerite.name=Винтик (Sphalerite)
    S:oredict.screwSpinel.name=Винтик (Spinel)
    S:oredict.screwSpruce.name=Винтик (Spruce)
    S:oredict.screwStainlessSteel.name=Винтик (Stainless Steel)
    S:oredict.screwStannite.name=Винтик (Stannite)
    S:oredict.screwSteel.name=Винтик (Steel)
    S:oredict.screwSteelGalvanized.name=Винтик (Galvanized Steel)
    S:oredict.screwSteelMagnetic.name=Винтик (Magnetic Steel)
    S:oredict.screwSteeleaf.name=Винтик (Steeleaf)
    S:oredict.screwStellarAlloy.name=Винтик (Stellar Alloy)
    S:oredict.screwSterlingSilver.name=Винтик (Sterling Silver)
    S:oredict.screwStibnite.name=Винтик (Stibnite)
    S:oredict.screwStone.name=Винтик (Stone)
    S:oredict.screwStrontium.name=Винтик (Strontium)
    S:oredict.screwSugilite.name=Винтик (Sugilite)
    S:oredict.screwSunnarium.name=Винтик (Sunnarium)
    S:oredict.screwSunnyQuartz.name=Винтик (Sunny Quartz)
    S:oredict.screwSunstone.name=Винтик (Sunstone)
    S:oredict.screwSweetgum.name=Винтик (Sweetgum)
    S:oredict.screwSycamore.name=Винтик (Sycamore)
    S:oredict.screwSyrmorite.name=Винтик (Syrmorite)
    S:oredict.screwSyzgium.name=Винтик (Syzgium)
    S:oredict.screwTantalum.name=Винтик (Tantalum)
    S:oredict.screwTantalumHafniumCarbide.name=Винтик (Tantalum Hafnium Carbide)
    S:oredict.screwTanzanite.name=Винтик (Tanzanite)
    S:oredict.screwTartarite.name=Винтик (Tartarite)
    S:oredict.screwTeak.name=Винтик (Teak)
    S:oredict.screwTechnetium.name=Винтик (Technetium)
    S:oredict.screwTellurium.name=Винтик (Tellurium)
    S:oredict.screwTerbium.name=Винтик (Terbium)
    S:oredict.screwTerrasteel.name=Винтик (Terrasteel)
    S:oredict.screwTetrahedrite.name=Винтик (Tetrahedrite)
    S:oredict.screwThallium.name=Винтик (Thallium)
    S:oredict.screwThaumium.name=Винтик (Thaumium)
    S:oredict.screwThorium.name=Винтик (Thorium)
    S:oredict.screwThorntree.name=Винтик (Thorntree)
    S:oredict.screwThulium.name=Винтик (Thulium)
    S:oredict.screwTigerEye.name=Винтик (Tiger Eye)
    S:oredict.screwTigerIron.name=Винтик (Tiger Iron)
    S:oredict.screwTin.name=Винтик (Tin)
    S:oredict.screwTinAlloy.name=Винтик (Tin Alloy)
    S:oredict.screwTitanium.name=Винтик (Titanium)
    S:oredict.screwTitaniumAluminide.name=Винтик (Titanium Aluminide)
    S:oredict.screwTitaniumGold.name=Винтик (Titanium-Gold)
    S:oredict.screwTitaniumIridium.name=Винтик (Iritanium)
    S:oredict.screwTopaz.name=Винтик (Topaz)
    S:oredict.screwTowerwood.name=Винтик (Towerwood)
    S:oredict.screwTrinaquadalloy.name=Винтик (Trinaquadalloy)
    S:oredict.screwTrinitanium.name=Винтик (Trinitanium)
    S:oredict.screwTrinium.name=Винтик (Trinium)
    S:oredict.screwTritanium.name=Винтик (Tritanium Alloy)
    S:oredict.screwTungsten.name=Винтик (Tungsten)
    S:oredict.screwTungstenCarbide.name=Винтик (Tungsten Carbide)
    S:oredict.screwTungstenSintered.name=Винтик (Sintered Tungsten)
    S:oredict.screwTungstensteel.name=Винтик (Tungstensteel)
    S:oredict.screwUltimet.name=Винтик (Ultimet)
    S:oredict.screwUmber.name=Винтик (Umberstone)
    S:oredict.screwUnbinilium.name=Винтик (Unbinilium)
    S:oredict.screwUnstable.name=Винтик (Unstable)
    S:oredict.screwUnunennium.name=Винтик (Ununennium)
    S:oredict.screwUranium.name=Винтик (Uranium)
    S:oredict.screwUranium233.name=Винтик (Uranium-233)
    S:oredict.screwUranium235.name=Винтик (Uranium-235)
    S:oredict.screwUvarovite.name=Винтик (Uvarovite)
    S:oredict.screwValonite.name=Винтик (Valonite)
    S:oredict.screwVanadium.name=Винтик (Vanadium)
    S:oredict.screwVanadiumGallium.name=Винтик (Vanadium-Gallium)
    S:oredict.screwVanadiumSteel.name=Винтик (Vanadiumsteel)
    S:oredict.screwVibramantium.name=Винтик (Vibramantium)
    S:oredict.screwVibranium.name=Винтик (Vibranium)
    S:oredict.screwVibraniumSilver.name=Винтик (Vibranium Silver)
    S:oredict.screwVibraniumSteel.name=Винтик (Vibranium Steel)
    S:oredict.screwVibrantAlloy.name=Винтик (Vibrant Alloy)
    S:oredict.screwVinteum.name=Винтик (Vinteum)
    S:oredict.screwVinteumPurified.name=Винтик (Purified Vinteum)
    S:oredict.screwVividAlloy.name=Винтик (Vivid Alloy)
    S:oredict.screwVoidCrystal.name=Винтик (Void)
    S:oredict.screwVoidMetal.name=Винтик (Void Metal)
    S:oredict.screwVoidQuartz.name=Винтик (Void Quartz)
    S:oredict.screwVulcanite.name=Винтик (Vulcanite)
    S:oredict.screwVyroxeres.name=Винтик (Vyroxeres)
    S:oredict.screwWalnutwood.name=Винтик (Walnutwood)
    S:oredict.screwWarpedwood.name=Винтик (Warped Wood)
    S:oredict.screwWeedwood.name=Винтик (Weedwood)
    S:oredict.screwWenge.name=Винтик (Wenge)
    S:oredict.screwWhiteCedar.name=Винтик (White Cedar)
    S:oredict.screwWhiteElm.name=Винтик (White Elm)
    S:oredict.screwWhiteFluorite.name=Винтик (White Fluorite)
    S:oredict.screwWhitePhosphorus.name=Винтик (White Phosphorus)
    S:oredict.screwWhitebeam.name=Винтик (Whitebeam)
    S:oredict.screwWillow.name=Винтик (Willow)
    S:oredict.screwWitchwood.name=Винтик (Witchwood)
    S:oredict.screwWood.name=Винтик (Wood)
    S:oredict.screwWoodBleached.name=Винтик (Bleached Wood)
    S:oredict.screwWoodCompressed.name=Винтик (Compressed Wood)
    S:oredict.screwWoodDead.name=Винтик (Dead Wood)
    S:oredict.screwWoodFrozen.name=Винтик (Frozen Wood)
    S:oredict.screwWoodMossy.name=Винтик (Mossy Wood)
    S:oredict.screwWoodPolished.name=Винтик (Polished Wood)
    S:oredict.screwWoodRotten.name=Винтик (Rotten Wood)
    S:oredict.screwWoodRubber.name=Винтик (Rubber Wood)
    S:oredict.screwWoodScorched.name=Винтик (Scorched Wood)
    S:oredict.screwWoodTainted.name=Винтик (Tainted Wood)
    S:oredict.screwWoodTreated.name=Винтик (Treated Wood)
    S:oredict.screwWoodVarnished.name=Винтик (Varnished Wood)
    S:oredict.screwWorkersAlloy.name=Винтик (Workers Alloy)
    S:oredict.screwWroughtIron.name=Винтик (Wrought Iron)
    S:oredict.screwWyvernwood.name=Винтик (Wyvernwood)
    S:oredict.screwYellorium.name=Винтик (Yellorium)
    S:oredict.screwYellowAventurine.name=Винтик (Yellow Aventurine)
    S:oredict.screwYellowFluorite.name=Винтик (Yellow Fluorite)
    S:oredict.screwYellowJasper.name=Винтик (Yellow Jasper)
    S:oredict.screwYellowSapphire.name=Винтик (Yellow Sapphire)
    S:oredict.screwYew.name=Винтик (Yew)
    S:oredict.screwYtterbium.name=Винтик (Ytterbium)
    S:oredict.screwYttrium.name=Винтик (Yttrium)
    S:oredict.screwYttriumBariumCuprate.name=Винтик (Yttrium-Barium-Cuprate)
    S:oredict.screwZanite.name=Винтик (Zanite)
    S:oredict.screwZebrawood.name=Винтик (Zebrawood)
    S:oredict.screwZinc.name=Винтик (Zinc)
    S:oredict.screwZircon.name=Винтик (Zircon)
    S:oredict.screwZirconium.name=Винтик (Zirconium)
