    S:oredict.blockDustAbyssalOat.name=Блок овса (Abyssal)
    S:oredict.blockDustEnderEye.name=Блок пыли (Endereye)
    S:oredict.blockDustEnderPearl.name=Блок пыли (Enderpearl)
    S:oredict.blockDustEnderium.name=Блок пыли (Enderium)
    S:oredict.blockDustEnderiumBase.name=Блок пыли (Enderium Base)
    S:oredict.blockDustEndium.name=Блок пыли (Endium)
    S:oredict.blockDustEndstone.name=Блок пыли (Endstone)
    S:oredict.blockDustEnergeticAlloy.name=Блок пыли (Energetic Alloy)
    S:oredict.blockDustEnergeticSilver.name=Блок пыли (Energetic Silver)
    S:oredict.blockDustEnergiumCyan.name=Блок пыли (Cyan Energium)
    S:oredict.blockDustEnergiumRed.name=Блок пыли (Red Energium)
    S:oredict.blockDustEnori.name=Блок пыли (Enori)
    S:oredict.blockDustEpidote.name=Блок пыли (Epidote)
    S:oredict.blockDustErbium.name=Блок пыли (Erbium)
    S:oredict.blockDustEthaxium.name=Блок пыли (Ethaxium)
    S:oredict.blockDustEtherealwood.name=Блок опилок (Etherealwood)
    S:oredict.blockDustEucalyptus.name=Блок опилок (Eucalyptus)
    S:oredict.blockDustEudialyte.name=Блок пыли (Eudialyte)
    S:oredict.blockDustEuropium.name=Блок пыли (Europium)
    S:oredict.blockDustEximite.name=Блок пыли (Eximite)
    S:oredict.blockDustFarnsium.name=Блок пыли (Farnsium)
    S:oredict.blockDustFerberite.name=Блок пыли (Ferberite)
    S:oredict.blockDustFermium.name=Блок пыли (Fermium)
    S:oredict.blockDustFerricChloride.name=Блок пыли (Ferric Chloride)
    S:oredict.blockDustFerricOxyhydroxide.name=Блок пыли (Ferric Oxyhydroxide)
    S:oredict.blockDustFerrite.name=Блок пыли (Ferrite)
    S:oredict.blockDustFerrousChloride.name=Блок пыли (Ferrous Chloride)
    S:oredict.blockDustFierySteel.name=Блок пыли (Fiery Steel)
    S:oredict.blockDustFigwood.name=Блок опилок (Figwood)
    S:oredict.blockDustFir.name=Блок опилок (Fir)
    S:oredict.blockDustFirestone.name=Блок пыли (Firestone)
    S:oredict.blockDustFishCooked.name=Блок приготовленной рыбной муки
    S:oredict.blockDustFishRaw.name=Блок рыбной муки
    S:oredict.blockDustFishRotten.name=Блок гнилой рыбной муки
    S:oredict.blockDustFlerovium.name=Блок пыли (Flerovium)
    S:oredict.blockDustFlerovium298.name=Блок пыли (Flerovium-298)
    S:oredict.blockDustFlint.name=Блок пыли (Flint)
    S:oredict.blockDustFluix.name=Блок пыли (Fluix)
    S:oredict.blockDustFluorite.name=Блок пыли (Fluorite)
    S:oredict.blockDustForce.name=Блок пыли (Force)
    S:oredict.blockDustForcicium.name=Блок пыли (Forcicium)
    S:oredict.blockDustForcillium.name=Блок пыли (Forcillium)
    S:oredict.blockDustFoxfirewood.name=Блок опилок (Foxfire)
    S:oredict.blockDustFrancium.name=Блок пыли (Francium)
    S:oredict.blockDustFrezarite.name=Блок пыли (Frezarite)
    S:oredict.blockDustFrozenIron.name=Блок пыли (Frozen Iron)
    S:oredict.blockDustGabbro.name=Блок пыли (Gabbro)
    S:oredict.blockDustGadolinium.name=Блок пыли (Gadolinium)
    S:oredict.blockDustGaiaSpirit.name=Блок пыли (Gaia Spirit)
    S:oredict.blockDustGalena.name=Блок пыли (Galena)
    S:oredict.blockDustGallium.name=Блок пыли (Gallium)
    S:oredict.blockDustGarnetSand.name=Блок гранатового песка
    S:oredict.blockDustGarnierite.name=Блок пыли (Garnierite)
    S:oredict.blockDustGermanium.name=Блок пыли (Germanium)
    S:oredict.blockDustGiganteumwood.name=Блок опилок (Giganteumwood)
    S:oredict.blockDustGildedIron.name=Блок пыли (Gilded Iron)
    S:oredict.blockDustGingko.name=Блок опилок (Gingko)
    S:oredict.blockDustGlass.name=Блок пыли (Glass)
    S:oredict.blockDustGlauconite.name=Блок пыли (Glauconite)
    S:oredict.blockDustGloomstone.name=Блок пыли (Gloomstone)
    S:oredict.blockDustGlowstone.name=Блок пыли (Glowstone)
    S:oredict.blockDustGlowstoneCeres.name=Блок пыли (Ceres Glowstone)
    S:oredict.blockDustGlowstoneEnceladus.name=Блок пыли (Enceladus Glowstone)
    S:oredict.blockDustGlowstoneIo.name=Блок пыли (Io Glowstone)
    S:oredict.blockDustGlowstonePluto.name=Блок пыли (Pluto Glowstone)
    S:oredict.blockDustGlowstoneProteus.name=Блок пыли (Proteus Glowstone)
    S:oredict.blockDustGneiss.name=Блок пыли (Gneiss)
    S:oredict.blockDustGold.name=Блок пыли (Gold)
    S:oredict.blockDustGold198.name=Блок пыли (Gold-198)
    S:oredict.blockDustGoldInductive.name=Блок пыли (Inductive Alloy)
    S:oredict.blockDustGoldwood.name=Блок опилок (Goldwood)
    S:oredict.blockDustGoshenite.name=Блок пыли (Goshenite)
    S:oredict.blockDustGranite.name=Блок пыли (Granite)
    S:oredict.blockDustGraniteBlack.name=Блок пыли (Black Granite)
    S:oredict.blockDustGraniteRed.name=Блок пыли (Red Granite)
    S:oredict.blockDustGraphite.name=Блок пыли (Graphite)
    S:oredict.blockDustGravitite.name=Блок пыли (Gravitite)
    S:oredict.blockDustGray.name=Блок красителя (Серый)
    S:oredict.blockDustGrayschist.name=Блок пыли (Gray Schist)
    S:oredict.blockDustGreatwood.name=Блок опилок (Greatwood)
    S:oredict.blockDustGreen.name=Блок красителя (Зеленый)
    S:oredict.blockDustGreenAventurine.name=Блок пыли (Green Aventurine)
    S:oredict.blockDustGreenFluorite.name=Блок пыли (Green Fluorite)
    S:oredict.blockDustGreenJasper.name=Блок пыли (Green Jasper)
    S:oredict.blockDustGreenMiddle.name=Блок пыли (Green Middle)
    S:oredict.blockDustGreenSapphire.name=Блок пыли (Green Sapphire)
    S:oredict.blockDustGreenheart.name=Блок опилок (Greenheart)
    S:oredict.blockDustGreenschist.name=Блок пыли (Green Schist)
    S:oredict.blockDustGreenstone.name=Блок пыли (Greenstone)
    S:oredict.blockDustGreywacke.name=Блок пыли (Greywacke)
    S:oredict.blockDustGrossular.name=Блок пыли (Grossular)
    S:oredict.blockDustGunpowder.name=Блок пороха
    S:oredict.blockDustGypsum.name=Блок пыли (Gypsum)
    S:oredict.blockDustHSLASpringSteel.name=Блок пыли (Spring Steel)
    S:oredict.blockDustHSLASteel.name=Блок пыли (HSLA-Steel)
    S:oredict.blockDustHSLATungstenAlloy.name=Блок пыли (Tungsten Alloy)
    S:oredict.blockDustHSSE.name=Блок пыли (HSS-E)
    S:oredict.blockDustHSSG.name=Блок пыли (HSS-G)
    S:oredict.blockDustHSSS.name=Блок пыли (HSS-S)
    S:oredict.blockDustHaderoth.name=Блок пыли (Haderoth)
    S:oredict.blockDustHafnium.name=Блок пыли (Hafnium)
    S:oredict.blockDustHassium.name=Блок пыли (Hassium)
    S:oredict.blockDustHawksEye.name=Блок пыли (Hawk's Eye)
    S:oredict.blockDustHawthorn.name=Блок опилок (Hawthorn)
    S:oredict.blockDustHazel.name=Блок опилок (Hazel)
    S:oredict.blockDustHazelnut.name=Блок молотого фундука
    S:oredict.blockDustHeliodor.name=Блок пыли (Heliodor)
    S:oredict.blockDustHellbark.name=Блок опилок (Hellbark)
    S:oredict.blockDustHematite.name=Блок пыли (Hematite)
    S:oredict.blockDustHemlock.name=Блок опилок (Hemlock)
    S:oredict.blockDustHepatizon.name=Блок пыли (Hepatizon)
    S:oredict.blockDustHexoriumBlack.name=Блок пыли (Black Hexorium)
    S:oredict.blockDustHexoriumBlue.name=Блок пыли (Blue Hexorium)
    S:oredict.blockDustHexoriumGreen.name=Блок пыли (Green Hexorium)
    S:oredict.blockDustHexoriumRed.name=Блок пыли (Red Hexorium)
    S:oredict.blockDustHexoriumWhite.name=Блок пыли (White Hexorium)
    S:oredict.blockDustHickory.name=Блок опилок (Hickory)
    S:oredict.blockDustHolly.name=Блок опилок (Holly)
    S:oredict.blockDustHolmium.name=Блок пыли (Holmium)
    S:oredict.blockDustHolystone.name=Блок пыли (Holystone)
    S:oredict.blockDustHoney.name=Блок пыли (Honey)
    S:oredict.blockDustHoneydew.name=Блок пыли (Honeydew)
    S:oredict.blockDustHornbeam.name=Блок опилок (Hornbeam)
    S:oredict.blockDustHuebnerite.name=Блок пыли (Huebnerite)
    S:oredict.blockDustHydratedCoal.name=Блок пыли (Hydrated Coal)
    S:oredict.blockDustHydrogenBorate.name=Блок пыли (Hydrogen Borate)
    S:oredict.blockDustIce.name=Блок дробленого льда
    S:oredict.blockDustIffesal.name=Блок пыли (Iffesal)
    S:oredict.blockDustIgnatius.name=Блок пыли (Ignatius)
    S:oredict.blockDustIlmenite.name=Блок пыли (Ilmenite)
    S:oredict.blockDustIndigo.name=Блок порошка (Indigo)
    S:oredict.blockDustIndium.name=Блок пыли (Indium)
    S:oredict.blockDustInfinity.name=Блок пыли (Infinity)
    S:oredict.blockDustInfuscolium.name=Блок пыли (Infuscolium)
    S:oredict.blockDustInfusedAir.name=Блок порошка (Air infused)
    S:oredict.blockDustInfusedBalance.name=Блок порошка (Balance infused)
    S:oredict.blockDustInfusedDull.name=Блок порошка (Dull Crystal)
    S:oredict.blockDustInfusedEarth.name=Блок порошка (Earth infused)
    S:oredict.blockDustInfusedEntropy.name=Блок порошка (Entropy infused)
    S:oredict.blockDustInfusedFire.name=Блок порошка (Fire infused)
    S:oredict.blockDustInfusedOrder.name=Блок порошка (Order infused)
    S:oredict.blockDustInfusedVis.name=Блок порошка (Magic infused)
    S:oredict.blockDustInfusedWater.name=Блок порошка (Water infused)
    S:oredict.blockDustInolashite.name=Блок пыли (Inolashite)
    S:oredict.blockDustInvar.name=Блок пыли (Invar)
    S:oredict.blockDustIodine.name=Блок пыли (Iodine)
    S:oredict.blockDustIodineSalt.name=Блок йодированой соли
    S:oredict.blockDustIpe.name=Блок опилок (Ipe)
    S:oredict.blockDustIridium.name=Блок пыли (Iridium)
    S:oredict.blockDustIroko.name=Блок опилок (Iroko)
    S:oredict.blockDustIron.name=Блок пыли (Iron)
    S:oredict.blockDustIronwood.name=Блок опилок (Ironwood)
    S:oredict.blockDustJacaranda.name=Блок опилок (Jacaranda)
    S:oredict.blockDustJade.name=Блок пыли (Jade)
    S:oredict.blockDustJapaneseMaple.name=Блок опилок (Japanese Maple)
    S:oredict.blockDustJunglewood.name=Блок опилок (Junglewood)
    S:oredict.blockDustKalendrite.name=Блок пыли (Kalendrite)
    S:oredict.blockDustKanthal.name=Блок пыли (Kanthal)
    S:oredict.blockDustKaolinite.name=Блок порошка (Kaolinite Clay)
    S:oredict.blockDustKapok.name=Блок опилок (Kapok)
    S:oredict.blockDustKesterite.name=Блок пыли (Kesterite)
    S:oredict.blockDustKimberlite.name=Блок пыли (Kimberlite)
    S:oredict.blockDustKnightmetal.name=Блок пыли (Knightmetal)
    S:oredict.blockDustKomatiite.name=Блок пыли (Komatiite)
    S:oredict.blockDustKreknorite.name=Блок пыли (Kreknorite)
    S:oredict.blockDustKyanite.name=Блок пыли (Kyanite)
    S:oredict.blockDustLanthanium.name=Блок пыли (Lanthanium)
    S:oredict.blockDustLapis.name=Блок пыли (Lapis)
    S:oredict.blockDustLarch.name=Блок опилок (Larch)
    S:oredict.blockDustLavenderQuartz.name=Блок пыли (Lavender Quartz)
    S:oredict.blockDustLawrencium.name=Блок пыли (Lawrencium)
    S:oredict.blockDustLazurite.name=Блок пыли (Lazurite)
    S:oredict.blockDustLead.name=Блок пыли (Lead)
    S:oredict.blockDustLemurite.name=Блок пыли (Lemurite)
    S:oredict.blockDustLepidolite.name=Блок пыли (Lepidolite)
    S:oredict.blockDustLicorice.name=Блок пыли (Licorice)
    S:oredict.blockDustLightBlue.name=Блок красителя (Голубой)
    S:oredict.blockDustLightGray.name=Блок красителя (Светло-серый)
    S:oredict.blockDustLignite.name=Блок пыли (Lignite Coal)
    S:oredict.blockDustLigniteCoke.name=Блок пыли (Lignite Coke)
    S:oredict.blockDustLime.name=Блок красителя (Лаймовый)
    S:oredict.blockDustLimestone.name=Блок пыли (Limestone)
    S:oredict.blockDustLimewood.name=Блок опилок (Limewood)
    S:oredict.blockDustLithium.name=Блок пыли (Lithium)
    S:oredict.blockDustLithium6.name=Блок пыли (Lithium-6)
    S:oredict.blockDustLithiumChlorate.name=Блок пыли (Lithium Chlorate)
    S:oredict.blockDustLithiumChloride.name=Блок пыли (Lithium Chloride)
    S:oredict.blockDustLithiumHydroxide.name=Блок пыли (Lithium Hydroxide)
    S:oredict.blockDustLithiumOxide.name=Блок пыли (Lithium Oxide)
    S:oredict.blockDustLithiumPerchlorate.name=Блок пыли (Lithium Perchlorate)
    S:oredict.blockDustLiveRoot.name=Блок опилок (Liveroot)
    S:oredict.blockDustLivermorium.name=Блок пыли (Livermorium)
    S:oredict.blockDustLivingrock.name=Блок пыли (Livingrock)
    S:oredict.blockDustLivingwood.name=Блок опилок (Livingwood)
    S:oredict.blockDustLocust.name=Блок опилок (Locust)
    S:oredict.blockDustLogwood.name=Блок опилок (Logwood)
    S:oredict.blockDustLonsdaleite.name=Блок пыли (Lonsdaleite)
    S:oredict.blockDustLudicrite.name=Блок пыли (Ludicrite)
    S:oredict.blockDustLumium.name=Блок пыли (Lumium)
    S:oredict.blockDustLutetium.name=Блок пыли (Lutetium)
    S:oredict.blockDustMaclura.name=Блок опилок (Maclura)
    S:oredict.blockDustMagenta.name=Блок красителя (Пурпурный)
    S:oredict.blockDustMagentaFluorite.name=Блок пыли (Magenta Fluorite)
    S:oredict.blockDustMagicwood.name=Блок опилок (Magicwood)
    S:oredict.blockDustMagnalium.name=Блок пыли (Magnalium)
    S:oredict.blockDustMagnesium.name=Блок пыли (Magnesium)
    S:oredict.blockDustMagnesiumCarbonate.name=Блок пыли (Magnesium Carbonate)
    S:oredict.blockDustMagnesiumChloride.name=Блок пыли (Magnesium Chloride)
    S:oredict.blockDustMahoe.name=Блок опилок (Mahoe)
    S:oredict.blockDustMahogany.name=Блок опилок (Mahogany)
    S:oredict.blockDustMalachite.name=Блок пыли (Malachite)
    S:oredict.blockDustManaDiamond.name=Блок пыли (Mana Diamond)
    S:oredict.blockDustManaQuartz.name=Блок пыли (Mana Quartz)
    S:oredict.blockDustManasteel.name=Блок пыли (Manasteel)
    S:oredict.blockDustManganese.name=Блок пыли (Manganese)
    S:oredict.blockDustManganeseChloride.name=Блок пыли (Manganese Chloride)
    S:oredict.blockDustMangrove.name=Блок опилок (Mangrove)
    S:oredict.blockDustManyullyn.name=Блок пыли (Manyullyn)
    S:oredict.blockDustMaple.name=Блок опилок (Maple)
    S:oredict.blockDustMarble.name=Блок пыли (Marble)
    S:oredict.blockDustMarsSand.name=Блок марсианского торфа
    S:oredict.blockDustMarsStone.name=Блок пыли (Mars)
    S:oredict.blockDustMarshmallow.name=Блок опилок (Marshmallow)
    S:oredict.blockDustMauftrium.name=Блок пыли (Mauftrium)
    S:oredict.blockDustMaxixe.name=Блок пыли (Maxixe)
    S:oredict.blockDustMeatCooked.name=Блок приготовленого мясного фарша
    S:oredict.blockDustMeatRaw.name=Блок мясного фарша
    S:oredict.blockDustMeatRotten.name=Блок тухлого мясного фарша
    S:oredict.blockDustMeitnerium.name=Блок пыли (Meitnerium)
    S:oredict.blockDustMelodicAlloy.name=Блок пыли (Melodic Alloy)
    S:oredict.blockDustMendelevium.name=Блок пыли (Mendelevium)
    S:oredict.blockDustMercury.name=Блок пыли (Mercury)
    S:oredict.blockDustMeteoricBlackSteel.name=Блок пыли (Meteoric Black Steel)
    S:oredict.blockDustMeteoricBlueSteel.name=Блок пыли (Meteoric Blue Steel)
    S:oredict.blockDustMeteoricIron.name=Блок пыли (Meteoric Iron)
    S:oredict.blockDustMeteoricRedSteel.name=Блок пыли (Meteoric Red Steel)
    S:oredict.blockDustMeteoricSteel.name=Блок пыли (Meteoric Steel)
    S:oredict.blockDustMeteorite.name=Блок пыли (Meteorite)
    S:oredict.blockDustMethaneIce.name=Блок пыли (Methane Ice)
    S:oredict.blockDustMeutoite.name=Блок пыли (Meutoite)
    S:oredict.blockDustMica.name=Блок пыли (Mica)
    S:oredict.blockDustMidasium.name=Блок пыли (Midasium)
    S:oredict.blockDustMigmatite.name=Блок пыли (Migmatite)
    S:oredict.blockDustMilk.name=Блок порошка (Молоко)
    S:oredict.blockDustMilkyQuartz.name=Блок пыли (Milky Quartz)
    S:oredict.blockDustMingrade.name=Блок пыли (Red Copper)
    S:oredict.blockDustMint.name=Блок порошка (Мята)
    S:oredict.blockDustMirabilite.name=Блок пыли (Mirabilite)
    S:oredict.blockDustMithril.name=Блок пыли (Mithril)
    S:oredict.blockDustMolybdenite.name=Блок пыли (Molybdenite)
    S:oredict.blockDustMolybdenum.name=Блок пыли (Molybdenum)
    S:oredict.blockDustMonazite.name=Блок пыли (Monazite)
    S:oredict.blockDustMoonStone.name=Блок пыли (Moon)
    S:oredict.blockDustMoonTurf.name=Блок лунного торфа
    S:oredict.blockDustMoonstone.name=Блок пыли (Moonstone)
    S:oredict.blockDustMorganite.name=Блок пыли (Morganite)
    S:oredict.blockDustMoscovium.name=Блок пыли (Moscovium)
    S:oredict.blockDustMuspelheimPower.name=Блок пыли (Muspelheim Power)
    S:oredict.blockDustNaquadah.name=Блок пыли (Naquadah)
    S:oredict.blockDustNaquadahEnriched.name=Блок пыли (Enriched Naquadah)
    S:oredict.blockDustNaquadria.name=Блок пыли (Naquadria)
    S:oredict.blockDustNeodymium.name=Блок пыли (Neodymium)
    S:oredict.blockDustNeptunium.name=Блок пыли (Neptunium)
    S:oredict.blockDustNetherBrick.name=Блок пыли (Nether Brick)
    S:oredict.blockDustNetherQuartz.name=Блок пыли (Nether Quartz)
    S:oredict.blockDustNetherStar.name=Блок пыли (Nether Star)
    S:oredict.blockDustNetherite.name=Блок пыли (Netherite)
    S:oredict.blockDustNetherizedDiamond.name=Блок пыли (Netherized Diamond)
    S:oredict.blockDustNetherrack.name=Блок пыли (Netherrack)
    S:oredict.blockDustNichrome.name=Блок пыли (Nichrome)
    S:oredict.blockDustNickel.name=Блок пыли (Nickel)
    S:oredict.blockDustNiflheimPower.name=Блок пыли (Niflheim Power)
    S:oredict.blockDustNihonium.name=Блок пыли (Nihonium)
    S:oredict.blockDustNikolineAlloy.name=Блок пыли (Nikoline Alloy)
    S:oredict.blockDustNikolite.name=Блок пыли (Nikolite)
    S:oredict.blockDustNiobium.name=Блок пыли (Niobium)
    S:oredict.blockDustNiobiumNitride.name=Блок пыли (Niobium Nitride)
    S:oredict.blockDustNiobiumPentoxide.name=Блок пыли (Niobium Pentoxide)
    S:oredict.blockDustNiobiumTitanium.name=Блок пыли (Niobium Titanium)
    S:oredict.blockDustNiter.name=Блок пыли (Niter)
    S:oredict.blockDustNobelium.name=Блок пыли (Nobelium)
    S:oredict.blockDustNougat.name=Блок пыли (Nougat)
    S:oredict.blockDustNutmeg.name=Блок молотого мускатного ореха
    S:oredict.blockDustOak.name=Блок опилок (Oak)
    S:oredict.blockDustOat.name=Блок овсянки
    S:oredict.blockDustObsidian.name=Блок пыли (Obsidian)
    S:oredict.blockDustObsidianRefined.name=Блок пыли (Refined Obsidian)
    S:oredict.blockDustObsidianSteel.name=Блок пыли (Obsidian Steel)
    S:oredict.blockDustOceanJasper.name=Блок пыли (Ocean Jasper)
    S:oredict.blockDustOctine.name=Блок пыли (Octine)
    S:oredict.blockDustOganesson.name=Блок пыли (Oganesson)
    S:oredict.blockDustOgrewood.name=Блок опилок (Ogrewood)
    S:oredict.blockDustOilSand.name=Блок битуминозного песка
    S:oredict.blockDustOilShale.name=Блок пыли (Oil Shale)
    S:oredict.blockDustOlivewood.name=Блок опилок (Olivewood)
    S:oredict.blockDustOlivine.name=Блок пыли (Olivine)
    S:oredict.blockDustOnyxBlack.name=Блок пыли (Black Onyx)
    S:oredict.blockDustOnyxRed.name=Блок пыли (Red Onyx)
    S:oredict.blockDustOpal.name=Блок пыли (Opal)
    S:oredict.blockDustOrange.name=Блок красителя (Оранжевый)
    S:oredict.blockDustOrangeFluorite.name=Блок пыли (Orange Fluorite)
    S:oredict.blockDustOrangeSapphire.name=Блок пыли (Orange Sapphire)
    S:oredict.blockDustOrichalcum.name=Блок пыли (Orichalcum)
    S:oredict.blockDustOriharukon.name=Блок пыли (Oriharukon)
    S:oredict.blockDustOsmiridium.name=Блок пыли (Osmiridium)
    S:oredict.blockDustOsmiumElemental.name=Блок пыли (Osmium)
    S:oredict.blockDustOureclase.name=Блок пыли (Oureclase)
    S:oredict.blockDustPEZ.name=Блок пыли (PEZ)
    S:oredict.blockDustPadauk.name=Блок опилок (Padauk)
    S:oredict.blockDustPalis.name=Блок пыли (Palis)
    S:oredict.blockDustPalladium.name=Блок пыли (Palladium)
    S:oredict.blockDustPalm.name=Блок опилок (Palm)
    S:oredict.blockDustPalygorskite.name=Блок порошка (Palygorskite Clay)
    S:oredict.blockDustPapayawood.name=Блок опилок (Papayawood)
    S:oredict.blockDustPaper.name=Блок чада
    S:oredict.blockDustPeanut.name=Блок молотого арахиса
    S:oredict.blockDustPeanutWood.name=Блок опилок (Peanut Wood)
    S:oredict.blockDustPearwood.name=Блок опилок (Pearwood)
    S:oredict.blockDustPeat.name=Блок торфа
    S:oredict.blockDustPeatBituminous.name=Блок битуминозного торфа
    S:oredict.blockDustPentlandite.name=Блок пыли (Pentlandite)
    S:oredict.blockDustPepperBlack.name=Блок молотого черного перца
    S:oredict.blockDustPerlite.name=Блок пыли (Perlite)
    S:oredict.blockDustPetrifiedWood.name=Блок опилок (Petrified Wood)
    S:oredict.blockDustPetroleumCoke.name=Блок пыли (Petroleum Coke)
    S:oredict.blockDustPetrotheum.name=Блок пыли (Petrotheum)
    S:oredict.blockDustPhosphate.name=Блок пыли (Phosphate)
    S:oredict.blockDustPhosphor.name=Блок пыли (Phosphor)
    S:oredict.blockDustPhosphorite.name=Блок пыли (Phosphorite)
    S:oredict.blockDustPhosphorus.name=Блок пыли (Phosphorus)
    S:oredict.blockDustPigIron.name=Блок пыли (Pig Iron)
    S:oredict.blockDustPinalite.name=Блок пыли (Pinalite)
    S:oredict.blockDustPine.name=Блок опилок (Pine)
    S:oredict.blockDustPink.name=Блок красителя (Розовый)
    S:oredict.blockDustPinkDiamond.name=Блок пыли (Pink Diamond)
    S:oredict.blockDustPinkFluorite.name=Блок пыли (Pink Fluorite)
    S:oredict.blockDustPinkIvory.name=Блок опилок (Pink Ivory)
    S:oredict.blockDustPinkschist.name=Блок пыли (Pink Schist)
    S:oredict.blockDustPistachio.name=Блок молотых фисташек
    S:oredict.blockDustPitchblende.name=Блок настурана
    S:oredict.blockDustPitstone.name=Блок пыли (Pitstone)
    S:oredict.blockDustPlastic.name=Блок опилок (Plastic)
    S:oredict.blockDustPlatinum.name=Блок пыли (Platinum)
    S:oredict.blockDustPlatinumGroupSludge.name=Блок пыли (Platinum Group Sludge)
    S:oredict.blockDustPlumwood.name=Блок опилок (Plumwood)
    S:oredict.blockDustPlutonium.name=Блок пыли (Plutonium)
    S:oredict.blockDustPlutonium238.name=Блок пыли (Plutonium-238)
    S:oredict.blockDustPlutonium239.name=Блок пыли (Plutonium-239)
    S:oredict.blockDustPlutonium240.name=Блок пыли (Plutonium-240)
    S:oredict.blockDustPlutonium241.name=Блок пыли (Plutonium-241)
    S:oredict.blockDustPlutonium243.name=Блок пыли (Plutonium-243)
    S:oredict.blockDustPollucite.name=Блок пыли (Pollucite)
    S:oredict.blockDustPolonium.name=Блок пыли (Polonium)
    S:oredict.blockDustPoplar.name=Блок опилок (Poplar)
    S:oredict.blockDustPorcelain.name=Блок пыли (Porcelain)
    S:oredict.blockDustPotassium.name=Блок пыли (Potassium)
    S:oredict.blockDustPotassiumAluminate.name=Блок пыли (Potassium Aluminate)
    S:oredict.blockDustPotassiumBisulfate.name=Блок пыли (Potassium Bisulfate)
    S:oredict.blockDustPotassiumCarbonate.name=Блок пыли (Potassium Carbonate)
    S:oredict.blockDustPotassiumFeldspar.name=Блок пыли (Potassium Feldspar)
    S:oredict.blockDustPotassiumFluoride.name=Блок пыли (Potassium Fluoride)
    S:oredict.blockDustPotassiumHeptafluorotantalate.name=Блок пыли (Potassium Heptafluorotantalate)
    S:oredict.blockDustPotassiumHydroxide.name=Блок пыли (Potassium Hydroxide)
    S:oredict.blockDustPotassiumNitrate.name=Блок пыли (Potassium Nitrate)
    S:oredict.blockDustPotassiumPersulfate.name=Блок пыли (Potassium Persulfate)
    S:oredict.blockDustPotassiumPyrosulfate.name=Блок пыли (Potassium Pyrosulfate)
    S:oredict.blockDustPotassiumSulfate.name=Блок пыли (Potassium Sulfate)
    S:oredict.blockDustPotassiumSulfide.name=Блок пыли (Potassium Sulfide)
    S:oredict.blockDustPotassiumSulfite.name=Блок пыли (Potassium Sulfite)
    S:oredict.blockDustPotato.name=Блок молотого картофеля
    S:oredict.blockDustPowellite.name=Блок пыли (Powellite)
    S:oredict.blockDustPraseodymium.name=Блок пыли (Praseodymium)
    S:oredict.blockDustPrismane.name=Блок пыли (Prismane)
    S:oredict.blockDustPrismarine.name=Блок пыли (Light Prismarine)
    S:oredict.blockDustPrismarineDark.name=Блок пыли (Dark Prismarine)
    S:oredict.blockDustPrometheum.name=Блок пыли (Prometheum)
    S:oredict.blockDustPromethium.name=Блок пыли (Promethium)
    S:oredict.blockDustProtactinium.name=Блок пыли (Protactinium)
    S:oredict.blockDustPulsatingIron.name=Блок пыли (Pulsating Iron)
    S:oredict.blockDustPumice.name=Блок пыли (Pumice)
    S:oredict.blockDustPurple.name=Блок красителя (Фиолетовый)
    S:oredict.blockDustPurpleAlloy.name=Блок пыли (Purple Alloy)
    S:oredict.blockDustPurpleSapphire.name=Блок пыли (Purple Sapphire)
    S:oredict.blockDustPurpleheart.name=Блок опилок (Purpleheart)
    S:oredict.blockDustPyrite.name=Блок пыли (Pyrite)
    S:oredict.blockDustPyrolusite.name=Блок пыли (Pyrolusite)
    S:oredict.blockDustPyrope.name=Блок пыли (Pyrope)
    S:oredict.blockDustPyrotheum.name=Блок пыли (Pyrotheum)
    S:oredict.blockDustQuartzBlack.name=Блок пыли (Black Quartz)
    S:oredict.blockDustQuartzSand.name=Блок кварцевого песка
    S:oredict.blockDustQuartzite.name=Блок пыли (Quartzite)
    S:oredict.blockDustRadium.name=Блок пыли (Radium)
    S:oredict.blockDustRainbowEucalyptus.name=Блок опилок (Rainbow Eucalyptus)
    S:oredict.blockDustRainbowood.name=Блок опилок (Rainbowood)
    S:oredict.blockDustRainforestJasper.name=Блок пыли (Rainforest Jasper)
    S:oredict.blockDustRareEarth.name=Блок РЗЭ
    S:oredict.blockDustRealgar.name=Блок пыли (Realgar)
    S:oredict.blockDustRed.name=Блок красителя (Красный)
    S:oredict.blockDustRedAlloy.name=Блок пыли (Red Alloy)
    S:oredict.blockDustRedAventurine.name=Блок пыли (Red Aventurine)
    S:oredict.blockDustRedFluorite.name=Блок пыли (Red Fluorite)
    S:oredict.blockDustRedJasper.name=Блок пыли (Red Jasper)
    S:oredict.blockDustRedMatter.name=Блок пыли (Red Matter)
    S:oredict.blockDustRedMeteor.name=Блок пыли (Red Meteor)
    S:oredict.blockDustRedPhosphorus.name=Блок пыли (Red Phosphorus)
    S:oredict.blockDustRedQuartz.name=Блок пыли (Red Quartz)
    S:oredict.blockDustRedSteel.name=Блок пыли (Red Steel)
    S:oredict.blockDustRedrock.name=Блок пыли (Redrock)
    S:oredict.blockDustRedstone.name=Блок пыли (Redstone)
    S:oredict.blockDustRedstoneAlloy.name=Блок пыли (Redstone Alloy)
    S:oredict.blockDustRedstonia.name=Блок пыли (Redstonia)
    S:oredict.blockDustRedwood.name=Блок опилок (Redwood)
    S:oredict.blockDustRhenium.name=Блок пыли (Rhenium)
    S:oredict.blockDustRhodium.name=Блок пыли (Rhodium)
