    S:oredict.crateGt64DustAbyssalOat.name=Ящик абиссального овса
    S:oredict.crateGt64DustDiorite.name=Ящик пыли (Diorite)
    S:oredict.crateGt64DustDolamide.name=Ящик пыли (Dolamide)
    S:oredict.crateGt64DustDolomite.name=Ящик пыли (Dolomite)
    S:oredict.crateGt64DustDominicanAmber.name=Ящик пыли (Dominican Amber)
    S:oredict.crateGt64DustDouglasFir.name=Ящик опилок (Douglas Fir)
    S:oredict.crateGt64DustDraconium.name=Ящик пыли (Draconium)
    S:oredict.crateGt64DustDraconiumAwakened.name=Ящик пыли (Awakened Draconium)
    S:oredict.crateGt64DustDragonEye.name=Ящик пыли (Dragon Eye)
    S:oredict.crateGt64DustDreadium.name=Ящик пыли (Dreadium)
    S:oredict.crateGt64DustDreamwood.name=Ящик опилок (Dreamwood)
    S:oredict.crateGt64DustDubnium.name=Ящик пыли (Dubnium)
    S:oredict.crateGt64DustDuralumin.name=Ящик пыли (Duralumin)
    S:oredict.crateGt64DustDuranium.name=Ящик пыли (Duranium Alloy)
    S:oredict.crateGt64DustDuraniumElemental.name=Ящик пыли (Elemental Duranium)
    S:oredict.crateGt64DustDuraniumHexaastatide.name=Ящик пыли (Duranium Hexaastatide)
    S:oredict.crateGt64DustDuraniumHexabromide.name=Ящик пыли (Duranium Hexabromide)
    S:oredict.crateGt64DustDuraniumHexachloride.name=Ящик пыли (Duranium Hexachloride)
    S:oredict.crateGt64DustDuraniumHexafluoride.name=Ящик пыли (Duranium Hexafluoride)
    S:oredict.crateGt64DustDuraniumHexaiodide.name=Ящик пыли (Duranium Hexaiodide)
    S:oredict.crateGt64DustDynamite.name=Ящик пыли (Dynamite)
    S:oredict.crateGt64DustDysprosium.name=Ящик пыли (Dysprosium)
    S:oredict.crateGt64DustEbony.name=Ящик опилок (Ebony)
    S:oredict.crateGt64DustEclogite.name=Ящик пыли (Eclogite)
    S:oredict.crateGt64DustEctoplasm.name=Ящик эктоплазмы
    S:oredict.crateGt64DustEfrine.name=Ящик пыли (Efrine)
    S:oredict.crateGt64DustEinsteinium.name=Ящик пыли (Einsteinium)
    S:oredict.crateGt64DustElderwood.name=Ящик опилок (Elderwood)
    S:oredict.crateGt64DustElectricalSteel.name=Ящик пыли (Electrical Steel)
    S:oredict.crateGt64DustElectrotineAlloy.name=Ящик пыли (Electrotine Alloy)
    S:oredict.crateGt64DustElectrum.name=Ящик пыли (Electrum)
    S:oredict.crateGt64DustElectrumFlux.name=Ящик пыли (Electrum Flux)
    S:oredict.crateGt64DustElm.name=Ящик опилок (Elm)
    S:oredict.crateGt64DustElvenDragonstone.name=Ящик пыли (Dragonstone)
    S:oredict.crateGt64DustElvenElementium.name=Ящик пыли (Elementium)
    S:oredict.crateGt64DustElvenQuartz.name=Ящик пыли (Elven Quartz)
    S:oredict.crateGt64DustElvorium.name=Ящик пыли (Elvorium)
    S:oredict.crateGt64DustEmeradic.name=Ящик пыли (Emeradic)
    S:oredict.crateGt64DustEmerald.name=Ящик пыли (Emerald)
    S:oredict.crateGt64DustEmery.name=Ящик пыли (Emery)
    S:oredict.crateGt64DustEmpty.name=Ящик пыли (Empty)
    S:oredict.crateGt64DustEndSand.name=Ящик песка (End)
    S:oredict.crateGt64DustEndSteel.name=Ящик пыли (End Steel)
    S:oredict.crateGt64DustEnderEye.name=Ящик пыли (Endereye)
    S:oredict.crateGt64DustEnderPearl.name=Ящик пыли (Enderpearl)
    S:oredict.crateGt64DustEnderium.name=Ящик пыли (Enderium)
    S:oredict.crateGt64DustEnderiumBase.name=Ящик пыли (Enderium Base)
    S:oredict.crateGt64DustEndium.name=Ящик пыли (Endium)
    S:oredict.crateGt64DustEndstone.name=Ящик пыли (Endstone)
    S:oredict.crateGt64DustEnergeticAlloy.name=Ящик пыли (Energetic Alloy)
    S:oredict.crateGt64DustEnergeticSilver.name=Ящик пыли (Energetic Silver)
    S:oredict.crateGt64DustEnergiumCyan.name=Ящик пыли (Cyan Energium)
    S:oredict.crateGt64DustEnergiumRed.name=Ящик пыли (Red Energium)
    S:oredict.crateGt64DustEnori.name=Ящик пыли (Enori)
    S:oredict.crateGt64DustEpidote.name=Ящик пыли (Epidote)
    S:oredict.crateGt64DustErbium.name=Ящик пыли (Erbium)
    S:oredict.crateGt64DustEthaxium.name=Ящик пыли (Ethaxium)
    S:oredict.crateGt64DustEtherealwood.name=Ящик опилок (Etherealwood)
    S:oredict.crateGt64DustEucalyptus.name=Ящик опилок (Eucalyptus)
    S:oredict.crateGt64DustEudialyte.name=Ящик пыли (Eudialyte)
    S:oredict.crateGt64DustEuropium.name=Ящик пыли (Europium)
    S:oredict.crateGt64DustEximite.name=Ящик пыли (Eximite)
    S:oredict.crateGt64DustFarnsium.name=Ящик пыли (Farnsium)
    S:oredict.crateGt64DustFerberite.name=Ящик пыли (Ferberite)
    S:oredict.crateGt64DustFermium.name=Ящик пыли (Fermium)
    S:oredict.crateGt64DustFerricChloride.name=Ящик пыли (Ferric Chloride)
    S:oredict.crateGt64DustFerricOxyhydroxide.name=Ящик пыли (Ferric Oxyhydroxide)
    S:oredict.crateGt64DustFerrite.name=Ящик пыли (Ferrite)
    S:oredict.crateGt64DustFerrousChloride.name=Ящик пыли (Ferrous Chloride)
    S:oredict.crateGt64DustFierySteel.name=Ящик пыли (Fiery Steel)
    S:oredict.crateGt64DustFigwood.name=Ящик опилок (Figwood)
    S:oredict.crateGt64DustFir.name=Ящик опилок (Fir)
    S:oredict.crateGt64DustFirestone.name=Ящик пыли (Firestone)
    S:oredict.crateGt64DustFishCooked.name=Ящик приготовленой рыбной муки
    S:oredict.crateGt64DustFishRaw.name=Ящик рыбной муки
    S:oredict.crateGt64DustFishRotten.name=Ящик гнилой рыбной муки
    S:oredict.crateGt64DustFlerovium.name=Ящик пыли (Flerovium)
    S:oredict.crateGt64DustFlerovium298.name=Ящик пыли (Flerovium-298)
    S:oredict.crateGt64DustFlint.name=Ящик пыли (Flint)
    S:oredict.crateGt64DustFluix.name=Ящик пыли (Fluix)
    S:oredict.crateGt64DustFluorite.name=Ящик пыли (Fluorite)
    S:oredict.crateGt64DustForce.name=Ящик пыли (Force)
    S:oredict.crateGt64DustForcicium.name=Ящик пыли (Forcicium)
    S:oredict.crateGt64DustForcillium.name=Ящик пыли (Forcillium)
    S:oredict.crateGt64DustFoxfirewood.name=Ящик опилок (Foxfire)
    S:oredict.crateGt64DustFrancium.name=Ящик пыли (Francium)
    S:oredict.crateGt64DustFrezarite.name=Ящик пыли (Frezarite)
    S:oredict.crateGt64DustFrozenIron.name=Ящик пыли (Frozen Iron)
    S:oredict.crateGt64DustGabbro.name=Ящик пыли (Gabbro)
    S:oredict.crateGt64DustGadolinium.name=Ящик пыли (Gadolinium)
    S:oredict.crateGt64DustGaiaSpirit.name=Ящик пыли (Gaia Spirit)
    S:oredict.crateGt64DustGalena.name=Ящик пыли (Galena)
    S:oredict.crateGt64DustGallium.name=Ящик пыли (Gallium)
    S:oredict.crateGt64DustGarnetSand.name=Ящик песка (Garnet)
    S:oredict.crateGt64DustGarnierite.name=Ящик пыли (Garnierite)
    S:oredict.crateGt64DustGermanium.name=Ящик пыли (Germanium)
    S:oredict.crateGt64DustGiganteumwood.name=Ящик опилок (Giganteumwood)
    S:oredict.crateGt64DustGildedIron.name=Ящик пыли (Gilded Iron)
    S:oredict.crateGt64DustGingko.name=Ящик опилок (Gingko)
    S:oredict.crateGt64DustGlass.name=Ящик пыли (Glass)
    S:oredict.crateGt64DustGlauconite.name=Ящик пыли (Glauconite)
    S:oredict.crateGt64DustGloomstone.name=Ящик пыли (Gloomstone)
    S:oredict.crateGt64DustGlowstone.name=Ящик пыли (Glowstone)
    S:oredict.crateGt64DustGlowstoneCeres.name=Ящик пыли (Ceres Glowstone)
    S:oredict.crateGt64DustGlowstoneEnceladus.name=Ящик пыли (Enceladus Glowstone)
    S:oredict.crateGt64DustGlowstoneIo.name=Ящик пыли (Io Glowstone)
    S:oredict.crateGt64DustGlowstonePluto.name=Ящик пыли (Pluto Glowstone)
    S:oredict.crateGt64DustGlowstoneProteus.name=Ящик пыли (Proteus Glowstone)
    S:oredict.crateGt64DustGneiss.name=Ящик пыли (Gneiss)
    S:oredict.crateGt64DustGold.name=Ящик пыли (Gold)
    S:oredict.crateGt64DustGold198.name=Ящик пыли (Gold-198)
    S:oredict.crateGt64DustGoldInductive.name=Ящик пыли (Inductive Alloy)
    S:oredict.crateGt64DustGoldwood.name=Ящик опилок (Goldwood)
    S:oredict.crateGt64DustGoshenite.name=Ящик пыли (Goshenite)
    S:oredict.crateGt64DustGranite.name=Ящик пыли (Granite)
    S:oredict.crateGt64DustGraniteBlack.name=Ящик пыли (Black Granite)
    S:oredict.crateGt64DustGraniteRed.name=Ящик пыли (Red Granite)
    S:oredict.crateGt64DustGraniticMineralSand.name=Ящик песка (Granitic Mineral)
    S:oredict.crateGt64DustGraphite.name=Ящик пыли (Graphite)
    S:oredict.crateGt64DustGravitite.name=Ящик пыли (Gravitite)
    S:oredict.crateGt64DustGray.name=Ящик красителя (Gray)
    S:oredict.crateGt64DustGrayschist.name=Ящик пыли (Gray Schist)
    S:oredict.crateGt64DustGreatwood.name=Ящик опилок (Greatwood)
    S:oredict.crateGt64DustGreen.name=Ящик красителя (Green)
    S:oredict.crateGt64DustGreenAventurine.name=Ящик пыли (Green Aventurine)
    S:oredict.crateGt64DustGreenFluorite.name=Ящик пыли (Green Fluorite)
    S:oredict.crateGt64DustGreenJasper.name=Ящик пыли (Green Jasper)
    S:oredict.crateGt64DustGreenMiddle.name=Ящик пыли (Green Middle)
    S:oredict.crateGt64DustGreenSapphire.name=Ящик пыли (Green Sapphire)
    S:oredict.crateGt64DustGreenheart.name=Ящик опилок (Greenheart)
    S:oredict.crateGt64DustGreenschist.name=Ящик пыли (Green Schist)
    S:oredict.crateGt64DustGreenstone.name=Ящик пыли (Greenstone)
    S:oredict.crateGt64DustGreywacke.name=Ящик пыли (Greywacke)
    S:oredict.crateGt64DustGrossular.name=Ящик пыли (Grossular)
    S:oredict.crateGt64DustGunpowder.name=Ящик пороха
    S:oredict.crateGt64DustGypsum.name=Ящик пыли (Gypsum)
    S:oredict.crateGt64DustHSLASpringSteel.name=Ящик пыли (Spring Steel)
    S:oredict.crateGt64DustHSLASteel.name=Ящик пыли (HSLA-Steel)
    S:oredict.crateGt64DustHSLATungstenAlloy.name=Ящик пыли (Tungsten Alloy)
    S:oredict.crateGt64DustHSSE.name=Ящик пыли (HSS-E)
    S:oredict.crateGt64DustHSSG.name=Ящик пыли (HSS-G)
    S:oredict.crateGt64DustHSSS.name=Ящик пыли (HSS-S)
    S:oredict.crateGt64DustHaderoth.name=Ящик пыли (Haderoth)
    S:oredict.crateGt64DustHafnium.name=Ящик пыли (Hafnium)
    S:oredict.crateGt64DustHassium.name=Ящик пыли (Hassium)
    S:oredict.crateGt64DustHawksEye.name=Ящик пыли (Hawk's Eye)
    S:oredict.crateGt64DustHawthorn.name=Ящик опилок (Hawthorn)
    S:oredict.crateGt64DustHazel.name=Ящик опилок (Hazel)
    S:oredict.crateGt64DustHazelnut.name=Ящик молотого фундука
    S:oredict.crateGt64DustHeliodor.name=Ящик пыли (Heliodor)
    S:oredict.crateGt64DustHellbark.name=Ящик опилок (Hellbark)
    S:oredict.crateGt64DustHematite.name=Ящик пыли (Hematite)
    S:oredict.crateGt64DustHemlock.name=Ящик опилок (Hemlock)
    S:oredict.crateGt64DustHepatizon.name=Ящик пыли (Hepatizon)
    S:oredict.crateGt64DustHexoriumBlack.name=Ящик пыли (Black Hexorium)
    S:oredict.crateGt64DustHexoriumBlue.name=Ящик пыли (Blue Hexorium)
    S:oredict.crateGt64DustHexoriumGreen.name=Ящик пыли (Green Hexorium)
    S:oredict.crateGt64DustHexoriumRed.name=Ящик пыли (Red Hexorium)
    S:oredict.crateGt64DustHexoriumWhite.name=Ящик пыли (White Hexorium)
    S:oredict.crateGt64DustHickory.name=Ящик опилок (Hickory)
    S:oredict.crateGt64DustHolly.name=Ящик опилок (Holly)
    S:oredict.crateGt64DustHolmium.name=Ящик пыли (Holmium)
    S:oredict.crateGt64DustHolystone.name=Ящик пыли (Holystone)
    S:oredict.crateGt64DustHoney.name=Ящик пыли (Honey)
    S:oredict.crateGt64DustHoneydew.name=Ящик пыли (Honeydew)
    S:oredict.crateGt64DustHornbeam.name=Ящик опилок (Hornbeam)
    S:oredict.crateGt64DustHuebnerite.name=Ящик пыли (Huebnerite)
    S:oredict.crateGt64DustHydratedCoal.name=Ящик пыли (Hydrated Coal)
    S:oredict.crateGt64DustHydrogenBorate.name=Ящик пыли (Hydrogen Borate)
    S:oredict.crateGt64DustIce.name=Ящик дробленого льда
    S:oredict.crateGt64DustIffesal.name=Ящик пыли (Iffesal)
    S:oredict.crateGt64DustIgnatius.name=Ящик пыли (Ignatius)
    S:oredict.crateGt64DustIlmenite.name=Ящик пыли (Ilmenite)
    S:oredict.crateGt64DustIndigo.name=Ящик порошка (Indigo)
    S:oredict.crateGt64DustIndium.name=Ящик пыли (Indium)
    S:oredict.crateGt64DustInfinity.name=Ящик пыли (Infinity)
    S:oredict.crateGt64DustInfuscolium.name=Ящик пыли (Infuscolium)
    S:oredict.crateGt64DustInfusedAir.name=Ящик порошка (Air infused)
    S:oredict.crateGt64DustInfusedBalance.name=Ящик порошка (Balance infused)
    S:oredict.crateGt64DustInfusedDull.name=Ящик порошка (Dull Crystal)
    S:oredict.crateGt64DustInfusedEarth.name=Ящик порошка (Earth infused)
    S:oredict.crateGt64DustInfusedEntropy.name=Ящик порошка (Entropy infused)
    S:oredict.crateGt64DustInfusedFire.name=Ящик порошка (Fire infused)
    S:oredict.crateGt64DustInfusedOrder.name=Ящик порошка (Order infused)
    S:oredict.crateGt64DustInfusedVis.name=Ящик порошка (Magic infused)
    S:oredict.crateGt64DustInfusedWater.name=Ящик порошка (Water infused)
    S:oredict.crateGt64DustInolashite.name=Ящик пыли (Inolashite)
    S:oredict.crateGt64DustInvar.name=Ящик пыли (Invar)
    S:oredict.crateGt64DustIodine.name=Ящик пыли (Iodine)
    S:oredict.crateGt64DustIodineSalt.name=Ящик йодированой соли
    S:oredict.crateGt64DustIpe.name=Ящик опилок (Ipe)
    S:oredict.crateGt64DustIridium.name=Ящик пыли (Iridium)
    S:oredict.crateGt64DustIroko.name=Ящик опилок (Iroko)
    S:oredict.crateGt64DustIron.name=Ящик пыли (Iron)
    S:oredict.crateGt64DustIronwood.name=Ящик опилок (Ironwood)
    S:oredict.crateGt64DustJacaranda.name=Ящик опилок (Jacaranda)
    S:oredict.crateGt64DustJade.name=Ящик пыли (Jade)
    S:oredict.crateGt64DustJapaneseMaple.name=Ящик опилок (Japanese Maple)
    S:oredict.crateGt64DustJunglewood.name=Ящик опилок (Junglewood)
    S:oredict.crateGt64DustKalendrite.name=Ящик пыли (Kalendrite)
    S:oredict.crateGt64DustKanthal.name=Ящик пыли (Kanthal)
    S:oredict.crateGt64DustKaolinite.name=Ящик порошка (Kaolinite Clay)
    S:oredict.crateGt64DustKapok.name=Ящик опилок (Kapok)
    S:oredict.crateGt64DustKesterite.name=Ящик пыли (Kesterite)
    S:oredict.crateGt64DustKimberlite.name=Ящик пыли (Kimberlite)
    S:oredict.crateGt64DustKnightmetal.name=Ящик пыли (Knightmetal)
    S:oredict.crateGt64DustKomatiite.name=Ящик пыли (Komatiite)
    S:oredict.crateGt64DustKreknorite.name=Ящик пыли (Kreknorite)
    S:oredict.crateGt64DustKyanite.name=Ящик пыли (Kyanite)
    S:oredict.crateGt64DustLanthanium.name=Ящик пыли (Lanthanium)
    S:oredict.crateGt64DustLapis.name=Ящик пыли (Lapis)
    S:oredict.crateGt64DustLarch.name=Ящик опилок (Larch)
    S:oredict.crateGt64DustLavenderQuartz.name=Ящик пыли (Lavender Quartz)
    S:oredict.crateGt64DustLawrencium.name=Ящик пыли (Lawrencium)
    S:oredict.crateGt64DustLazurite.name=Ящик пыли (Lazurite)
    S:oredict.crateGt64DustLead.name=Ящик пыли (Lead)
    S:oredict.crateGt64DustLemurite.name=Ящик пыли (Lemurite)
    S:oredict.crateGt64DustLepidolite.name=Ящик пыли (Lepidolite)
    S:oredict.crateGt64DustLicorice.name=Ящик пыли (Licorice)
    S:oredict.crateGt64DustLightBlue.name=Ящик красителя (Light Blue)
    S:oredict.crateGt64DustLightGray.name=Ящик красителя (Light Gray)
    S:oredict.crateGt64DustLignite.name=Ящик пыли (Lignite Coal)
    S:oredict.crateGt64DustLigniteCoke.name=Ящик пыли (Lignite Coke)
    S:oredict.crateGt64DustLime.name=Ящик красителя (Lime)
    S:oredict.crateGt64DustLimestone.name=Ящик пыли (Limestone)
    S:oredict.crateGt64DustLimewood.name=Ящик опилок (Limewood)
    S:oredict.crateGt64DustLithium.name=Ящик пыли (Lithium)
    S:oredict.crateGt64DustLithium6.name=Ящик пыли (Lithium-6)
    S:oredict.crateGt64DustLithiumChlorate.name=Ящик пыли (Lithium Chlorate)
    S:oredict.crateGt64DustLithiumChloride.name=Ящик пыли (Lithium Chloride)
    S:oredict.crateGt64DustLithiumHydroxide.name=Ящик пыли (Lithium Hydroxide)
    S:oredict.crateGt64DustLithiumOxide.name=Ящик пыли (Lithium Oxide)
    S:oredict.crateGt64DustLithiumPerchlorate.name=Ящик пыли (Lithium Perchlorate)
    S:oredict.crateGt64DustLiveRoot.name=Ящик опилок (Liveroot)
    S:oredict.crateGt64DustLivermorium.name=Ящик пыли (Livermorium)
    S:oredict.crateGt64DustLivingrock.name=Ящик пыли (Livingrock)
    S:oredict.crateGt64DustLivingwood.name=Ящик опилок (Livingwood)
    S:oredict.crateGt64DustLocust.name=Ящик опилок (Locust)
    S:oredict.crateGt64DustLogwood.name=Ящик опилок (Logwood)
    S:oredict.crateGt64DustLonsdaleite.name=Ящик пыли (Lonsdaleite)
    S:oredict.crateGt64DustLudicrite.name=Ящик пыли (Ludicrite)
    S:oredict.crateGt64DustLumium.name=Ящик пыли (Lumium)
    S:oredict.crateGt64DustLutetium.name=Ящик пыли (Lutetium)
    S:oredict.crateGt64DustMaclura.name=Ящик опилок (Maclura)
    S:oredict.crateGt64DustMagenta.name=Ящик красителя (Magenta)
    S:oredict.crateGt64DustMagentaFluorite.name=Ящик пыли (Magenta Fluorite)
    S:oredict.crateGt64DustMagicwood.name=Ящик опилок (Magicwood)
    S:oredict.crateGt64DustMagnalium.name=Ящик пыли (Magnalium)
    S:oredict.crateGt64DustMagnesium.name=Ящик пыли (Magnesium)
    S:oredict.crateGt64DustMagnesiumCarbonate.name=Ящик пыли (Magnesium Carbonate)
    S:oredict.crateGt64DustMagnesiumChloride.name=Ящик пыли (Magnesium Chloride)
    S:oredict.crateGt64DustMagnetite.name=Ящик магнетита
    S:oredict.crateGt64DustMahoe.name=Ящик опилок (Mahoe)
    S:oredict.crateGt64DustMahogany.name=Ящик опилок (Mahogany)
    S:oredict.crateGt64DustMalachite.name=Ящик пыли (Malachite)
    S:oredict.crateGt64DustManaDiamond.name=Ящик пыли (Mana Diamond)
    S:oredict.crateGt64DustManaQuartz.name=Ящик пыли (Mana Quartz)
    S:oredict.crateGt64DustManasteel.name=Ящик пыли (Manasteel)
    S:oredict.crateGt64DustManganese.name=Ящик пыли (Manganese)
    S:oredict.crateGt64DustManganeseChloride.name=Ящик пыли (Manganese Chloride)
    S:oredict.crateGt64DustMangrove.name=Ящик опилок (Mangrove)
    S:oredict.crateGt64DustManyullyn.name=Ящик пыли (Manyullyn)
    S:oredict.crateGt64DustMaple.name=Ящик опилок (Maple)
    S:oredict.crateGt64DustMarble.name=Ящик пыли (Marble)
    S:oredict.crateGt64DustMarsSand.name=Ящик марсианского торфа
    S:oredict.crateGt64DustMarsStone.name=Ящик пыли (Mars)
    S:oredict.crateGt64DustMarshmallow.name=Ящик опилок (Marshmallow)
    S:oredict.crateGt64DustMauftrium.name=Ящик пыли (Mauftrium)
    S:oredict.crateGt64DustMaxixe.name=Ящик пыли (Maxixe)
    S:oredict.crateGt64DustMeatCooked.name=Ящик приготовленого мясного фарша
    S:oredict.crateGt64DustMeatRaw.name=Ящик мясного фарша
    S:oredict.crateGt64DustMeatRotten.name=Ящик тухлого мясного фарша
    S:oredict.crateGt64DustMeitnerium.name=Ящик пыли (Meitnerium)
    S:oredict.crateGt64DustMelodicAlloy.name=Ящик пыли (Melodic Alloy)
    S:oredict.crateGt64DustMendelevium.name=Ящик пыли (Mendelevium)
    S:oredict.crateGt64DustMercury.name=Ящик пыли (Mercury)
    S:oredict.crateGt64DustMeteoricBlackSteel.name=Ящик пыли (Meteoric Black Steel)
    S:oredict.crateGt64DustMeteoricBlueSteel.name=Ящик пыли (Meteoric Blue Steel)
    S:oredict.crateGt64DustMeteoricIron.name=Ящик пыли (Meteoric Iron)
    S:oredict.crateGt64DustMeteoricRedSteel.name=Ящик пыли (Meteoric Red Steel)
    S:oredict.crateGt64DustMeteoricSteel.name=Ящик пыли (Meteoric Steel)
    S:oredict.crateGt64DustMeteorite.name=Ящик пыли (Meteorite)
    S:oredict.crateGt64DustMethaneIce.name=Ящик пыли (Methane Ice)
    S:oredict.crateGt64DustMeutoite.name=Ящик пыли (Meutoite)
    S:oredict.crateGt64DustMica.name=Ящик пыли (Mica)
    S:oredict.crateGt64DustMidasium.name=Ящик пыли (Midasium)
    S:oredict.crateGt64DustMigmatite.name=Ящик пыли (Migmatite)
    S:oredict.crateGt64DustMilk.name=Ящик порошка (Milk)
    S:oredict.crateGt64DustMilkyQuartz.name=Ящик пыли (Milky Quartz)
    S:oredict.crateGt64DustMingrade.name=Ящик пыли (Red Copper)
    S:oredict.crateGt64DustMint.name=Ящик порошка (Mint)
    S:oredict.crateGt64DustMirabilite.name=Ящик пыли (Mirabilite)
    S:oredict.crateGt64DustMithril.name=Ящик пыли (Mithril)
    S:oredict.crateGt64DustMolybdenite.name=Ящик пыли (Molybdenite)
    S:oredict.crateGt64DustMolybdenum.name=Ящик пыли (Molybdenum)
    S:oredict.crateGt64DustMonazite.name=Ящик пыли (Monazite)
    S:oredict.crateGt64DustMoonStone.name=Ящик пыли (Moon)
    S:oredict.crateGt64DustMoonTurf.name=Ящик лунного торфа
    S:oredict.crateGt64DustMoonstone.name=Ящик пыли (Moonstone)
    S:oredict.crateGt64DustMorganite.name=Ящик пыли (Morganite)
    S:oredict.crateGt64DustMoscovium.name=Ящик пыли (Moscovium)
    S:oredict.crateGt64DustMuspelheimPower.name=Ящик пыли (Muspelheim Power)
    S:oredict.crateGt64DustNaquadah.name=Ящик пыли (Naquadah)
    S:oredict.crateGt64DustNaquadahEnriched.name=Ящик пыли (Enriched Naquadah)
    S:oredict.crateGt64DustNaquadria.name=Ящик пыли (Naquadria)
    S:oredict.crateGt64DustNeodymium.name=Ящик пыли (Neodymium)
    S:oredict.crateGt64DustNeptunium.name=Ящик пыли (Neptunium)
    S:oredict.crateGt64DustNetherBrick.name=Ящик пыли (Nether Brick)
    S:oredict.crateGt64DustNetherQuartz.name=Ящик пыли (Nether Quartz)
    S:oredict.crateGt64DustNetherStar.name=Ящик пыли (Nether Star)
    S:oredict.crateGt64DustNetherite.name=Ящик пыли (Netherite)
    S:oredict.crateGt64DustNetherizedDiamond.name=Ящик пыли (Netherized Diamond)
    S:oredict.crateGt64DustNetherrack.name=Ящик пыли (Netherrack)
    S:oredict.crateGt64DustNichrome.name=Ящик пыли (Nichrome)
    S:oredict.crateGt64DustNickel.name=Ящик пыли (Nickel)
    S:oredict.crateGt64DustNiflheimPower.name=Ящик пыли (Niflheim Power)
    S:oredict.crateGt64DustNihonium.name=Ящик пыли (Nihonium)
    S:oredict.crateGt64DustNikolineAlloy.name=Ящик пыли (Nikoline Alloy)
    S:oredict.crateGt64DustNikolite.name=Ящик пыли (Nikolite)
    S:oredict.crateGt64DustNiobium.name=Ящик пыли (Niobium)
    S:oredict.crateGt64DustNiobiumNitride.name=Ящик пыли (Niobium Nitride)
    S:oredict.crateGt64DustNiobiumPentoxide.name=Ящик пыли (Niobium Pentoxide)
    S:oredict.crateGt64DustNiobiumTitanium.name=Ящик пыли (Niobium Titanium)
    S:oredict.crateGt64DustNiter.name=Ящик пыли (Niter)
    S:oredict.crateGt64DustNobelium.name=Ящик пыли (Nobelium)
    S:oredict.crateGt64DustNougat.name=Ящик пыли (Nougat)
    S:oredict.crateGt64DustNutmeg.name=Ящик молотого мускатного ореха
    S:oredict.crateGt64DustOak.name=Ящик опилок (Oak)
    S:oredict.crateGt64DustOat.name=Ящик овса
    S:oredict.crateGt64DustObsidian.name=Ящик пыли (Obsidian)
    S:oredict.crateGt64DustObsidianRefined.name=Ящик пыли (Refined Obsidian)
    S:oredict.crateGt64DustObsidianSteel.name=Ящик пыли (Obsidian Steel)
    S:oredict.crateGt64DustOceanJasper.name=Ящик пыли (Ocean Jasper)
    S:oredict.crateGt64DustOctine.name=Ящик пыли (Octine)
    S:oredict.crateGt64DustOganesson.name=Ящик пыли (Oganesson)
    S:oredict.crateGt64DustOgrewood.name=Ящик опилок (Ogrewood)
    S:oredict.crateGt64DustOilSand.name=Ящик песка (Oil)
    S:oredict.crateGt64DustOilShale.name=Ящик пыли (Oil Shale)
    S:oredict.crateGt64DustOlivewood.name=Ящик опилок (Olivewood)
    S:oredict.crateGt64DustOlivine.name=Ящик пыли (Olivine)
    S:oredict.crateGt64DustOnyxBlack.name=Ящик пыли (Black Onyx)
    S:oredict.crateGt64DustOnyxRed.name=Ящик пыли (Red Onyx)
    S:oredict.crateGt64DustOpal.name=Ящик пыли (Opal)
    S:oredict.crateGt64DustOrange.name=Ящик красителя (Orange)
    S:oredict.crateGt64DustOrangeFluorite.name=Ящик пыли (Orange Fluorite)
    S:oredict.crateGt64DustOrangeSapphire.name=Ящик пыли (Orange Sapphire)
    S:oredict.crateGt64DustOrichalcum.name=Ящик пыли (Orichalcum)
    S:oredict.crateGt64DustOriharukon.name=Ящик пыли (Oriharukon)
    S:oredict.crateGt64DustOsmiridium.name=Ящик пыли (Osmiridium)
    S:oredict.crateGt64DustOsmiumElemental.name=Ящик пыли (Osmium)
    S:oredict.crateGt64DustOureclase.name=Ящик пыли (Oureclase)
    S:oredict.crateGt64DustPEZ.name=Ящик пыли (PEZ)
    S:oredict.crateGt64DustPadauk.name=Ящик опилок (Padauk)
    S:oredict.crateGt64DustPalis.name=Ящик пыли (Palis)
    S:oredict.crateGt64DustPalladium.name=Ящик пыли (Palladium)
    S:oredict.crateGt64DustPalm.name=Ящик опилок (Palm)
    S:oredict.crateGt64DustPalygorskite.name=Ящик порошка (Palygorskite Clay)
    S:oredict.crateGt64DustPapayawood.name=Ящик опилок (Papayawood)
    S:oredict.crateGt64DustPaper.name=Ящик чада
    S:oredict.crateGt64DustPeanut.name=Ящик молотого арахиса
    S:oredict.crateGt64DustPeanutWood.name=Ящик опилок (Peanut Wood)
    S:oredict.crateGt64DustPearwood.name=Ящик опилок (Pearwood)
    S:oredict.crateGt64DustPeat.name=Ящик торфа
    S:oredict.crateGt64DustPeatBituminous.name=Ящик битуминозного торфа
    S:oredict.crateGt64DustPentlandite.name=Ящик пыли (Pentlandite)
    S:oredict.crateGt64DustPepperBlack.name=Ящик молотого черного перца
    S:oredict.crateGt64DustPerlite.name=Ящик пыли (Perlite)
    S:oredict.crateGt64DustPetrifiedWood.name=Ящик опилок (Petrified Wood)
    S:oredict.crateGt64DustPetroleumCoke.name=Ящик пыли (Petroleum Coke)
    S:oredict.crateGt64DustPetrotheum.name=Ящик пыли (Petrotheum)
    S:oredict.crateGt64DustPhosphate.name=Ящик пыли (Phosphate)
    S:oredict.crateGt64DustPhosphor.name=Ящик пыли (Phosphor)
    S:oredict.crateGt64DustPhosphorite.name=Ящик пыли (Phosphorite)
