    S:oredict.plateAbyssalnite.name=Пластина (Abyssalnite)
    S:oredict.plateDenseCerium.name=Плотная пластина (Cerium)
    S:oredict.plateDenseCeruclase.name=Плотная пластина (Ceruclase)
    S:oredict.plateDenseChromium.name=Плотная пластина (Chromium)
    S:oredict.plateDenseChromiumDioxide.name=Плотная пластина (Chromium Dioxide)
    S:oredict.plateDenseClayCompound.name=Плотная пластина (Clay Compound)
    S:oredict.plateDenseCobalt.name=Плотная пластина (Cobalt)
    S:oredict.plateDenseCobalt60.name=Плотная пластина (Cobalt-60)
    S:oredict.plateDenseCobaltBrass.name=Плотная пластина (Cobalt Brass)
    S:oredict.plateDenseConductiveIron.name=Плотная пластина (Conductive Iron)
    S:oredict.plateDenseConstantan.name=Плотная пластина (Constantan)
    S:oredict.plateDenseCopernicium.name=Плотная пластина (Copernicium)
    S:oredict.plateDenseCopper.name=Плотная пластина (Copper)
    S:oredict.plateDenseCoralium.name=Плотная пластина (Coralium)
    S:oredict.plateDenseCosmicNeutronium.name=Плотная пластина (Cosmic Neutronium)
    S:oredict.plateDenseCrystalMatrix.name=Плотная пластина (Crystal Matrix)
    S:oredict.plateDenseCrystallineAlloy.name=Плотная пластина (Crystalline Alloy)
    S:oredict.plateDenseCrystallinePinkSlime.name=Плотная пластина (Crystalline Pink Slime)
    S:oredict.plateDenseCurium.name=Плотная пластина (Curium)
    S:oredict.plateDenseCyanite.name=Плотная пластина (Cyanite)
    S:oredict.plateDenseDamascusSteel.name=Плотная пластина (Damascus Steel)
    S:oredict.plateDenseDarkIron.name=Плотная пластина (Dark Iron)
    S:oredict.plateDenseDarkThaumium.name=Плотная пластина (Dark Thaumium)
    S:oredict.plateDenseDarmstadtium.name=Плотная пластина (Darmstadtium)
    S:oredict.plateDenseDeepIron.name=Плотная пластина (Deep Iron)
    S:oredict.plateDenseDesh.name=Плотная пластина (Desh)
    S:oredict.plateDenseDesichalkos.name=Плотная пластина (Desichalkos)
    S:oredict.plateDenseDraconium.name=Плотная пластина (Draconium)
    S:oredict.plateDenseDraconiumAwakened.name=Плотная пластина (Awakened Draconium)
    S:oredict.plateDenseDreadium.name=Плотная пластина (Dreadium)
    S:oredict.plateDenseDubnium.name=Плотная пластина (Dubnium)
    S:oredict.plateDenseDuralumin.name=Плотная пластина (Duralumin)
    S:oredict.plateDenseDuranium.name=Плотная пластина (Duranium Alloy)
    S:oredict.plateDenseDysprosium.name=Плотная пластина (Dysprosium)
    S:oredict.plateDenseEfrine.name=Плотная пластина (Efrine)
    S:oredict.plateDenseEinsteinium.name=Плотная пластина (Einsteinium)
    S:oredict.plateDenseElectricalSteel.name=Плотная пластина (Electrical Steel)
    S:oredict.plateDenseElectrotineAlloy.name=Плотная пластина (Electrotine Alloy)
    S:oredict.plateDenseElectrum.name=Плотная пластина (Electrum)
    S:oredict.plateDenseElectrumFlux.name=Плотная пластина (Electrum Flux)
    S:oredict.plateDenseElvenElementium.name=Плотная пластина (Elementium)
    S:oredict.plateDenseElvorium.name=Плотная пластина (Elvorium)
    S:oredict.plateDenseEmpty.name=Плотная пластина (Empty)
    S:oredict.plateDenseEndSteel.name=Плотная пластина (End Steel)
    S:oredict.plateDenseEnderium.name=Плотная пластина (Enderium)
    S:oredict.plateDenseEnderiumBase.name=Плотная пластина (Enderium Base)
    S:oredict.plateDenseEndium.name=Плотная пластина (Endium)
    S:oredict.plateDenseEnergeticAlloy.name=Плотная пластина (Energetic Alloy)
    S:oredict.plateDenseEnergeticSilver.name=Плотная пластина (Energetic Silver)
    S:oredict.plateDenseErbium.name=Плотная пластина (Erbium)
    S:oredict.plateDenseEthaxium.name=Плотная пластина (Ethaxium)
    S:oredict.plateDenseEuropium.name=Плотная пластина (Europium)
    S:oredict.plateDenseEximite.name=Плотная пластина (Eximite)
    S:oredict.plateDenseFarnsium.name=Плотная пластина (Farnsium)
    S:oredict.plateDenseFermium.name=Плотная пластина (Fermium)
    S:oredict.plateDenseFerrite.name=Плотная пластина (Ferrite)
    S:oredict.plateDenseFierySteel.name=Плотная пластина (Fiery Steel)
    S:oredict.plateDenseFlerovium.name=Плотная пластина (Flerovium)
    S:oredict.plateDenseFlerovium298.name=Плотная пластина (Flerovium-298)
    S:oredict.plateDenseForce.name=Плотная пластина (Force)
    S:oredict.plateDenseFrancium.name=Плотная пластина (Francium)
    S:oredict.plateDenseFrozenIron.name=Плотная пластина (Frozen Iron)
    S:oredict.plateDenseGadolinium.name=Плотная пластина (Gadolinium)
    S:oredict.plateDenseGaiaSpirit.name=Плотная пластина (Gaia Spirit)
    S:oredict.plateDenseGallium.name=Плотная пластина (Gallium)
    S:oredict.plateDenseGermanium.name=Плотная пластина (Germanium)
    S:oredict.plateDenseGildedIron.name=Плотная пластина (Gilded Iron)
    S:oredict.plateDenseGlowstoneRefined.name=Плотная пластина (Refined Glowstone)
    S:oredict.plateDenseGold.name=Плотная пластина (Gold)
    S:oredict.plateDenseGold198.name=Плотная пластина (Gold-198)
    S:oredict.plateDenseGoldInductive.name=Плотная пластина (Inductive Alloy)
    S:oredict.plateDenseHSLASpringSteel.name=Плотная пластина (Spring Steel)
    S:oredict.plateDenseHSLASteel.name=Плотная пластина (HSLA-Steel)
    S:oredict.plateDenseHSLATungstenAlloy.name=Плотная пластина (Tungsten Alloy)
    S:oredict.plateDenseHSSE.name=Плотная пластина (HSS-E)
    S:oredict.plateDenseHSSG.name=Плотная пластина (HSS-G)
    S:oredict.plateDenseHSSS.name=Плотная пластина (HSS-S)
    S:oredict.plateDenseHaderoth.name=Плотная пластина (Haderoth)
    S:oredict.plateDenseHafnium.name=Плотная пластина (Hafnium)
    S:oredict.plateDenseHassium.name=Плотная пластина (Hassium)
    S:oredict.plateDenseHepatizon.name=Плотная пластина (Hepatizon)
    S:oredict.plateDenseHolmium.name=Плотная пластина (Holmium)
    S:oredict.plateDenseIgnatius.name=Плотная пластина (Ignatius)
    S:oredict.plateDenseIndium.name=Плотная пластина (Indium)
    S:oredict.plateDenseInfinity.name=Плотная пластина (Infinity)
    S:oredict.plateDenseInfuscolium.name=Плотная пластина (Infuscolium)
    S:oredict.plateDenseInolashite.name=Плотная пластина (Inolashite)
    S:oredict.plateDenseInvar.name=Плотная пластина (Invar)
    S:oredict.plateDenseIridium.name=Плотная пластина (Iridium)
    S:oredict.plateDenseIron.name=Плотная пластина (Iron)
    S:oredict.plateDenseIronCompressed.name=Плотная пластина (Compressed Iron)
    S:oredict.plateDenseIronMagnetic.name=Плотная пластина (Magnetic Iron)
    S:oredict.plateDenseIronwood.name=Плотная планка (Ironwood)
    S:oredict.plateDenseKalendrite.name=Плотная пластина (Kalendrite)
    S:oredict.plateDenseKanthal.name=Плотная пластина (Kanthal)
    S:oredict.plateDenseKnightmetal.name=Плотная пластина (Knightmetal)
    S:oredict.plateDenseKreknorite.name=Плотная пластина (Kreknorite)
    S:oredict.plateDenseLanthanium.name=Плотная пластина (Lanthanium)
    S:oredict.plateDenseLapis.name=Плотная пластина (Lapis)
    S:oredict.plateDenseLawrencium.name=Плотная пластина (Lawrencium)
    S:oredict.plateDenseLazurite.name=Плотная пластина (Lazurite)
    S:oredict.plateDenseLead.name=Плотная пластина (Lead)
    S:oredict.plateDenseLemurite.name=Плотная пластина (Lemurite)
    S:oredict.plateDenseLithium.name=Плотная пластина (Lithium)
    S:oredict.plateDenseLithium6.name=Плотная пластина (Lithium-6)
    S:oredict.plateDenseLivermorium.name=Плотная пластина (Livermorium)
    S:oredict.plateDenseLudicrite.name=Плотная пластина (Ludicrite)
    S:oredict.plateDenseLumium.name=Плотная пластина (Lumium)
    S:oredict.plateDenseLutetium.name=Плотная пластина (Lutetium)
    S:oredict.plateDenseMagnalium.name=Плотная пластина (Magnalium)
    S:oredict.plateDenseMagnesium.name=Плотная пластина (Magnesium)
    S:oredict.plateDenseManasteel.name=Плотная пластина (Manasteel)
    S:oredict.plateDenseManganese.name=Плотная пластина (Manganese)
    S:oredict.plateDenseManyullyn.name=Плотная пластина (Manyullyn)
    S:oredict.plateDenseMauftrium.name=Плотная пластина (Mauftrium)
    S:oredict.plateDenseMeitnerium.name=Плотная пластина (Meitnerium)
    S:oredict.plateDenseMelodicAlloy.name=Плотная пластина (Melodic Alloy)
    S:oredict.plateDenseMendelevium.name=Плотная пластина (Mendelevium)
    S:oredict.plateDenseMercury.name=Плотная пластина (Mercury)
    S:oredict.plateDenseMeteoricBlackSteel.name=Плотная пластина (Meteoric Black Steel)
    S:oredict.plateDenseMeteoricBlueSteel.name=Плотная пластина (Meteoric Blue Steel)
    S:oredict.plateDenseMeteoricIron.name=Плотная пластина (Meteoric Iron)
    S:oredict.plateDenseMeteoricRedSteel.name=Плотная пластина (Meteoric Red Steel)
    S:oredict.plateDenseMeteoricSteel.name=Плотная пластина (Meteoric Steel)
    S:oredict.plateDenseMeteorite.name=Плотная пластина (Meteorite)
    S:oredict.plateDenseMeutoite.name=Плотная пластина (Meutoite)
    S:oredict.plateDenseMidasium.name=Плотная пластина (Midasium)
    S:oredict.plateDenseMingrade.name=Плотная пластина (Red Copper)
    S:oredict.plateDenseMithril.name=Плотная пластина (Mithril)
    S:oredict.plateDenseMolybdenum.name=Плотная пластина (Molybdenum)
    S:oredict.plateDenseMoscovium.name=Плотная пластина (Moscovium)
    S:oredict.plateDenseMuspelheimPower.name=Плотная пластина (Muspelheim Power)
    S:oredict.plateDenseNaquadah.name=Плотная пластина (Naquadah)
    S:oredict.plateDenseNaquadahEnriched.name=Плотная пластина (Enriched Naquadah)
    S:oredict.plateDenseNaquadria.name=Плотная пластина (Naquadria)
    S:oredict.plateDenseNeodymium.name=Плотная пластина (Neodymium)
    S:oredict.plateDenseNeodymiumMagnetic.name=Плотная пластина (Magnetic Neodymium)
    S:oredict.plateDenseNeptunium.name=Плотная пластина (Neptunium)
    S:oredict.plateDenseNetherite.name=Плотная пластина (Netherite)
    S:oredict.plateDenseNetherizedDiamond.name=Плотная пластина (Netherized Diamond)
    S:oredict.plateDenseNichrome.name=Плотная пластина (Nichrome)
    S:oredict.plateDenseNickel.name=Плотная пластина (Nickel)
    S:oredict.plateDenseNiflheimPower.name=Плотная пластина (Niflheim Power)
    S:oredict.plateDenseNihonium.name=Плотная пластина (Nihonium)
    S:oredict.plateDenseNikolineAlloy.name=Плотная пластина (Nikoline Alloy)
    S:oredict.plateDenseNiobium.name=Плотная пластина (Niobium)
    S:oredict.plateDenseNiobiumNitride.name=Плотная пластина (Niobium Nitride)
    S:oredict.plateDenseNiobiumTitanium.name=Плотная пластина (Niobium Titanium)
    S:oredict.plateDenseNobelium.name=Плотная пластина (Nobelium)
    S:oredict.plateDenseObsidianRefined.name=Плотная пластина (Refined Obsidian)
    S:oredict.plateDenseObsidianSteel.name=Плотная пластина (Obsidian Steel)
    S:oredict.plateDenseOctine.name=Плотная пластина (Octine)
    S:oredict.plateDenseOganesson.name=Плотная пластина (Oganesson)
    S:oredict.plateDenseOrichalcum.name=Плотная пластина (Orichalcum)
    S:oredict.plateDenseOriharukon.name=Плотная пластина (Oriharukon)
    S:oredict.plateDenseOsmiridium.name=Плотная пластина (Osmiridium)
    S:oredict.plateDenseOsmiumElemental.name=Плотная пластина (Osmium)
    S:oredict.plateDenseOureclase.name=Плотная пластина (Oureclase)
    S:oredict.plateDensePalladium.name=Плотная пластина (Palladium)
    S:oredict.plateDensePigIron.name=Плотная пластина (Pig Iron)
    S:oredict.plateDensePlastic.name=Плотный лист (Plastic)
    S:oredict.plateDensePlatinum.name=Плотная пластина (Platinum)
    S:oredict.plateDensePlutonium.name=Плотная пластина (Plutonium)
    S:oredict.plateDensePlutonium238.name=Плотная пластина (Plutonium-238)
    S:oredict.plateDensePlutonium239.name=Плотная пластина (Plutonium-239)
    S:oredict.plateDensePlutonium240.name=Плотная пластина (Plutonium-240)
    S:oredict.plateDensePlutonium241.name=Плотная пластина (Plutonium-241)
    S:oredict.plateDensePlutonium243.name=Плотная пластина (Plutonium-243)
    S:oredict.plateDensePolonium.name=Плотная пластина (Polonium)
    S:oredict.plateDensePotassium.name=Плотная пластина (Potassium)
    S:oredict.plateDensePraseodymium.name=Плотная пластина (Praseodymium)
    S:oredict.plateDensePrometheum.name=Плотная пластина (Prometheum)
    S:oredict.plateDensePromethium.name=Плотная пластина (Promethium)
    S:oredict.plateDenseProtactinium.name=Плотная пластина (Protactinium)
    S:oredict.plateDensePulsatingIron.name=Плотная пластина (Pulsating Iron)
    S:oredict.plateDensePurpleAlloy.name=Плотная пластина (Purple Alloy)
    S:oredict.plateDenseRadium.name=Плотная пластина (Radium)
    S:oredict.plateDenseRedAlloy.name=Плотная пластина (Red Alloy)
    S:oredict.plateDenseRedSteel.name=Плотная пластина (Red Steel)
    S:oredict.plateDenseRedstoneAlloy.name=Плотная пластина (Redstone Alloy)
    S:oredict.plateDenseRhenium.name=Плотная пластина (Rhenium)
    S:oredict.plateDenseRhodium.name=Плотная пластина (Rhodium)
    S:oredict.plateDenseRoentgenium.name=Плотная пластина (Roentgenium)
    S:oredict.plateDenseRoseGold.name=Плотная пластина (Rose Gold)
    S:oredict.plateDenseRubber.name=Плотный лист (Rubber)
    S:oredict.plateDenseRubidium.name=Плотная пластина (Rubidium)
    S:oredict.plateDenseRubracium.name=Плотная пластина (Rubracium)
    S:oredict.plateDenseRuthenium.name=Плотная пластина (Ruthenium)
    S:oredict.plateDenseRutherfordium.name=Плотная пластина (Rutherfordium)
    S:oredict.plateDenseSamarium.name=Плотная пластина (Samarium)
    S:oredict.plateDenseSanguinite.name=Плотная пластина (Sanguinite)
    S:oredict.plateDenseScandium.name=Плотная пластина (Scandium)
    S:oredict.plateDenseSeaborgium.name=Плотная пластина (Seaborgium)
    S:oredict.plateDenseShadowIron.name=Плотная пластина (Shadow Iron)
    S:oredict.plateDenseShadowSteel.name=Плотная пластина (Shadow Steel)
    S:oredict.plateDenseSignalum.name=Плотная пластина (Signalum)
    S:oredict.plateDenseSilicon.name=Плотная пластина (Silicon)
    S:oredict.plateDenseSilver.name=Плотная пластина (Silver)
    S:oredict.plateDenseSodalite.name=Плотная пластина (Sodalite)
    S:oredict.plateDenseSodium.name=Плотная пластина (Sodium)
    S:oredict.plateDenseSolderingAlloy.name=Плотная пластина (Soldering Alloy)
    S:oredict.plateDenseSoularium.name=Плотная пластина (Soularium)
    S:oredict.plateDenseSpectreIron.name=Плотная пластина (Spectre Iron)
    S:oredict.plateDenseStainlessSteel.name=Плотная пластина (Stainless Steel)
    S:oredict.plateDenseSteel.name=Плотная пластина (Steel)
    S:oredict.plateDenseSteelGalvanized.name=Плотная пластина (Galvanized Steel)
    S:oredict.plateDenseSteelMagnetic.name=Плотная пластина (Magnetic Steel)
    S:oredict.plateDenseSteeleaf.name=Плотная планка (Steeleaf)
    S:oredict.plateDenseStellarAlloy.name=Плотная пластина (Stellar Alloy)
    S:oredict.plateDenseSterlingSilver.name=Плотная пластина (Sterling Silver)
    S:oredict.plateDenseStrontium.name=Плотная пластина (Strontium)
    S:oredict.plateDenseSunnarium.name=Плотная пластина (Sunnarium)
    S:oredict.plateDenseSyrmorite.name=Плотная пластина (Syrmorite)
    S:oredict.plateDenseTantalum.name=Плотная пластина (Tantalum)
    S:oredict.plateDenseTantalumHafniumCarbide.name=Плотная пластина (Tantalum Hafnium Carbide)
    S:oredict.plateDenseTartarite.name=Плотная пластина (Tartarite)
    S:oredict.plateDenseTechnetium.name=Плотная пластина (Technetium)
    S:oredict.plateDenseTellurium.name=Плотная пластина (Tellurium)
    S:oredict.plateDenseTerbium.name=Плотная пластина (Terbium)
    S:oredict.plateDenseTerrasteel.name=Плотная пластина (Terrasteel)
    S:oredict.plateDenseThallium.name=Плотная пластина (Thallium)
    S:oredict.plateDenseThaumium.name=Плотная пластина (Thaumium)
    S:oredict.plateDenseThorium.name=Плотная пластина (Thorium)
    S:oredict.plateDenseThulium.name=Плотная пластина (Thulium)
    S:oredict.plateDenseTin.name=Плотная пластина (Tin)
    S:oredict.plateDenseTinAlloy.name=Плотная пластина (Tin Alloy)
    S:oredict.plateDenseTitanium.name=Плотная пластина (Titanium)
    S:oredict.plateDenseTitaniumAluminide.name=Плотная пластина (Titanium Aluminide)
    S:oredict.plateDenseTitaniumGold.name=Плотная пластина (Titanium-Gold)
    S:oredict.plateDenseTitaniumIridium.name=Плотная пластина (Iritanium)
    S:oredict.plateDenseTrinaquadalloy.name=Плотная пластина (Trinaquadalloy)
    S:oredict.plateDenseTrinitanium.name=Плотная пластина (Trinitanium)
    S:oredict.plateDenseTrinium.name=Плотная пластина (Trinium)
    S:oredict.plateDenseTritanium.name=Плотная пластина (Tritanium Alloy)
    S:oredict.plateDenseTungsten.name=Плотная пластина (Tungsten)
    S:oredict.plateDenseTungstenCarbide.name=Плотная пластина (Tungsten Carbide)
    S:oredict.plateDenseTungstenSintered.name=Плотная пластина (Sintered Tungsten)
    S:oredict.plateDenseTungstensteel.name=Плотная пластина (Tungstensteel)
    S:oredict.plateDenseUltimet.name=Плотная пластина (Ultimet)
    S:oredict.plateDenseUnbinilium.name=Плотная пластина (Unbinilium)
    S:oredict.plateDenseUnstable.name=Плотная пластина (Unstable)
    S:oredict.plateDenseUnunennium.name=Плотная пластина (Ununennium)
    S:oredict.plateDenseUranium.name=Плотная пластина (Uranium)
    S:oredict.plateDenseUranium233.name=Плотная пластина (Uranium-233)
    S:oredict.plateDenseUranium235.name=Плотная пластина (Uranium-235)
    S:oredict.plateDenseVanadium.name=Плотная пластина (Vanadium)
    S:oredict.plateDenseVanadiumGallium.name=Плотная пластина (Vanadium-Gallium)
    S:oredict.plateDenseVanadiumSteel.name=Плотная пластина (Vanadiumsteel)
    S:oredict.plateDenseVibramantium.name=Плотная пластина (Vibramantium)
    S:oredict.plateDenseVibraniumSilver.name=Плотная пластина (Vibranium Silver)
    S:oredict.plateDenseVibraniumSteel.name=Плотная пластина (Vibranium Steel)
    S:oredict.plateDenseVibrantAlloy.name=Плотная пластина (Vibrant Alloy)
    S:oredict.plateDenseVividAlloy.name=Плотная пластина (Vivid Alloy)
    S:oredict.plateDenseVoidMetal.name=Плотная пластина (Void Metal)
    S:oredict.plateDenseVulcanite.name=Плотная пластина (Vulcanite)
    S:oredict.plateDenseVyroxeres.name=Плотная пластина (Vyroxeres)
    S:oredict.plateDenseWorkersAlloy.name=Плотная пластина (Workers Alloy)
    S:oredict.plateDenseWroughtIron.name=Плотная пластина (Wrought Iron)
    S:oredict.plateDenseYellorium.name=Плотная пластина (Yellorium)
    S:oredict.plateDenseYtterbium.name=Плотная пластина (Ytterbium)
    S:oredict.plateDenseYttrium.name=Плотная пластина (Yttrium)
    S:oredict.plateDenseYttriumBariumCuprate.name=Плотная пластина (Yttrium-Barium-Cuprate)
    S:oredict.plateDenseZinc.name=Плотная пластина (Zinc)
    S:oredict.plateDenseZirconium.name=Плотная пластина (Zirconium)
    S:oredict.plateDesh.name=Пластина (Desh)
    S:oredict.plateDesichalkos.name=Пластина (Desichalkos)
    S:oredict.plateDiorite.name=Пластина (Diorite)
    S:oredict.plateDoubleAbyssalnite.name=2х Пластина (Abyssalnite)
    S:oredict.plateDoubleActinium.name=2х Пластина (Actinium)
    S:oredict.plateDoubleAdamantine.name=2х Пластина (Adamantine)
    S:oredict.plateDoubleAdamantite.name=2х Пластина (Adamantite)
    S:oredict.plateDoubleAdamantium.name=2х Пластина (Adamantium)
    S:oredict.plateDoubleAlduorite.name=2х Пластина (Alduorite)
    S:oredict.plateDoubleAluminium.name=2х Пластина (Aluminium)
    S:oredict.plateDoubleAluminiumAlloy.name=2х Пластина (Aluminium Alloy)
    S:oredict.plateDoubleAluminiumBrass.name=2х Пластина (Aluminium Brass)
    S:oredict.plateDoubleAlumite.name=2х Пластина (Alumite)
    S:oredict.plateDoubleAmericium.name=2х Пластина (Americium)
    S:oredict.plateDoubleAmericium241.name=2х Пластина (Americium-241)
    S:oredict.plateDoubleAmericium242.name=2х Пластина (Americium-242)
    S:oredict.plateDoubleAmordrine.name=2х Пластина (Amordrine)
    S:oredict.plateDoubleAncientDebris.name=2х Пластина (Ancient Debris)
    S:oredict.plateDoubleAngmallen.name=2х Пластина (Angmallen)
    S:oredict.plateDoubleAnnealedCopper.name=2х Пластина (Annealed Copper)
    S:oredict.plateDoubleAntiActinium.name=2х Пластина (Anti-Actinium)
    S:oredict.plateDoubleAntiAdamantium.name=2х Пластина (Anti-Adamantium)
    S:oredict.plateDoubleAntiAluminium.name=2х Пластина (Anti-Aluminium)
    S:oredict.plateDoubleAntiAmericium.name=2х Пластина (Anti-Americium)
    S:oredict.plateDoubleAntiAmericium241.name=2х Пластина (Anti-Americium-241)
    S:oredict.plateDoubleAntiAntimony.name=2х Пластина (Anti-Antimony)
    S:oredict.plateDoubleAntiArsenic.name=2х Пластина (Anti-Arsenic)
    S:oredict.plateDoubleAntiAstatine.name=2х Пластина (Anti-Astatine)
    S:oredict.plateDoubleAntiBarium.name=2х Пластина (Anti-Barium)
    S:oredict.plateDoubleAntiBerkelium.name=2х Пластина (Anti-Berkelium)
    S:oredict.plateDoubleAntiBeryllium.name=2х Пластина (Anti-Beryllium)
    S:oredict.plateDoubleAntiBismuth.name=2х Пластина (Anti-Bismuth)
    S:oredict.plateDoubleAntiBohrium.name=2х Пластина (Anti-Bohrium)
    S:oredict.plateDoubleAntiBoron.name=2х Пластина (Anti-Boron)
    S:oredict.plateDoubleAntiCadmium.name=2х Пластина (Anti-Cadmium)
    S:oredict.plateDoubleAntiCaesium.name=2х Пластина (Anti-Caesium)
    S:oredict.plateDoubleAntiCalifornium.name=2х Пластина (Anti-Californium)
    S:oredict.plateDoubleAntiCerium.name=2х Пластина (Anti-Cerium)
    S:oredict.plateDoubleAntiChromium.name=2х Пластина (Anti-Chromium)
    S:oredict.plateDoubleAntiCobalt.name=2х Пластина (Anti-Cobalt)
    S:oredict.plateDoubleAntiCobalt60.name=2х Пластина (Anti-Cobalt-60)
    S:oredict.plateDoubleAntiCopernicium.name=2х Пластина (Anti-Copernicium)
    S:oredict.plateDoubleAntiCopper.name=2х Пластина (Anti-Copper)
    S:oredict.plateDoubleAntiCurium.name=2х Пластина (Anti-Curium)
    S:oredict.plateDoubleAntiDarmstadtium.name=2х Пластина (Anti-Darmstadtium)
    S:oredict.plateDoubleAntiDubnium.name=2х Пластина (Anti-Dubnium)
    S:oredict.plateDoubleAntiDysprosium.name=2х Пластина (Anti-Dysprosium)
    S:oredict.plateDoubleAntiEinsteinium.name=2х Пластина (Anti-Einsteinium)
    S:oredict.plateDoubleAntiErbium.name=2х Пластина (Anti-Erbium)
    S:oredict.plateDoubleAntiEuropium.name=2х Пластина (Anti-Europium)
    S:oredict.plateDoubleAntiFarnsium.name=2х Пластина (Anti-Farnsium)
    S:oredict.plateDoubleAntiFermium.name=2х Пластина (Anti-Fermium)
    S:oredict.plateDoubleAntiFlerovium.name=2х Пластина (Anti-Flerovium)
    S:oredict.plateDoubleAntiFlerovium298.name=2х Пластина (Anti-Flerovium-298)
    S:oredict.plateDoubleAntiFrancium.name=2х Пластина (Anti-Francium)
    S:oredict.plateDoubleAntiGadolinium.name=2х Пластина (Anti-Gadolinium)
    S:oredict.plateDoubleAntiGallium.name=2х Пластина (Anti-Gallium)
    S:oredict.plateDoubleAntiGermanium.name=2х Пластина (Anti-Germanium)
    S:oredict.plateDoubleAntiGold.name=2х Пластина (Anti-Gold)
    S:oredict.plateDoubleAntiHafnium.name=2х Пластина (Anti-Hafnium)
    S:oredict.plateDoubleAntiHassium.name=2х Пластина (Anti-Hassium)
    S:oredict.plateDoubleAntiHolmium.name=2х Пластина (Anti-Holmium)
    S:oredict.plateDoubleAntiIndium.name=2х Пластина (Anti-Indium)
    S:oredict.plateDoubleAntiIridium.name=2х Пластина (Anti-Iridium)
    S:oredict.plateDoubleAntiIron.name=2х Пластина (Anti-Iron)
    S:oredict.plateDoubleAntiLanthanum.name=2х Пластина (Anti-Lanthanum)
    S:oredict.plateDoubleAntiLawrencium.name=2х Пластина (Anti-Lawrencium)
    S:oredict.plateDoubleAntiLead.name=2х Пластина (Anti-Lead)
    S:oredict.plateDoubleAntiLivermorium.name=2х Пластина (Anti-Livermorium)
    S:oredict.plateDoubleAntiLutetium.name=2х Пластина (Anti-Lutetium)
    S:oredict.plateDoubleAntiMagnesium.name=2х Пластина (Anti-Magnesium)
    S:oredict.plateDoubleAntiManganese.name=2х Пластина (Anti-Manganese)
    S:oredict.plateDoubleAntiMeitnerium.name=2х Пластина (Anti-Meitnerium)
    S:oredict.plateDoubleAntiMendelevium.name=2х Пластина (Anti-Mendelevium)
    S:oredict.plateDoubleAntiMercury.name=2х Пластина (Anti-Mercury)
    S:oredict.plateDoubleAntiMolybdenum.name=2х Пластина (Anti-Molybdenum)
    S:oredict.plateDoubleAntiNaquadah.name=2х Пластина (Anti-Naquadah)
    S:oredict.plateDoubleAntiNaquadahEnriched.name=2х Пластина (Enriched Anti-Naquadah)
    S:oredict.plateDoubleAntiNaquadria.name=2х Пластина (Anti-Naquadria)
    S:oredict.plateDoubleAntiNeodymium.name=2х Пластина (Anti-Neodymium)
    S:oredict.plateDoubleAntiNeptunium.name=2х Пластина (Anti-Neptunium)
    S:oredict.plateDoubleAntiNickel.name=2х Пластина (Anti-Nickel)
    S:oredict.plateDoubleAntiNiobium.name=2х Пластина (Anti-Niobium)
    S:oredict.plateDoubleAntiNobelium.name=2х Пластина (Anti-Nobelium)
    S:oredict.plateDoubleAntiOsmium.name=2х Пластина (Anti-Osmium)
    S:oredict.plateDoubleAntiPalladium.name=2х Пластина (Anti-Palladium)
    S:oredict.plateDoubleAntiPlatinum.name=2х Пластина (Anti-Platinum)
    S:oredict.plateDoubleAntiPlutonium.name=2х Пластина (Anti-Plutonium)
    S:oredict.plateDoubleAntiPlutonium241.name=2х Пластина (Anti-Plutonium-241)
    S:oredict.plateDoubleAntiPlutonium243.name=2х Пластина (Anti-Plutonium-243)
    S:oredict.plateDoubleAntiPolonium.name=2х Пластина (Anti-Polonium)
    S:oredict.plateDoubleAntiPraseodymium.name=2х Пластина (Anti-Praseodymium)
    S:oredict.plateDoubleAntiPromethium.name=2х Пластина (Anti-Promethium)
    S:oredict.plateDoubleAntiProtactinium.name=2х Пластина (Anti-Protactinium)
    S:oredict.plateDoubleAntiRadium.name=2х Пластина (Anti-Radium)
    S:oredict.plateDoubleAntiRhenium.name=2х Пластина (Anti-Rhenium)
    S:oredict.plateDoubleAntiRhodium.name=2х Пластина (Anti-Rhodium)
    S:oredict.plateDoubleAntiRoentgenium.name=2х Пластина (Anti-Roentgenium)
    S:oredict.plateDoubleAntiRubidium.name=2х Пластина (Anti-Rubidium)
    S:oredict.plateDoubleAntiRuthenium.name=2х Пластина (Anti-Ruthenium)
    S:oredict.plateDoubleAntiRutherfordium.name=2х Пластина (Anti-Rutherfordium)
    S:oredict.plateDoubleAntiSamarium.name=2х Пластина (Anti-Samarium)
    S:oredict.plateDoubleAntiScandium.name=2х Пластина (Anti-Scandium)
    S:oredict.plateDoubleAntiSeaborgium.name=2х Пластина (Anti-Seaborgium)
    S:oredict.plateDoubleAntiSilicon.name=2х Пластина (Anti-Silicon)
    S:oredict.plateDoubleAntiSilver.name=2х Пластина (Anti-Silver)
    S:oredict.plateDoubleAntiStrontium.name=2х Пластина (Anti-Strontium)
    S:oredict.plateDoubleAntiTantalum.name=2х Пластина (Anti-Tantalum)
    S:oredict.plateDoubleAntiTechnetium.name=2х Пластина (Anti-Technetium)
    S:oredict.plateDoubleAntiTellurium.name=2х Пластина (Anti-Tellurium)
    S:oredict.plateDoubleAntiTerbium.name=2х Пластина (Anti-Terbium)
    S:oredict.plateDoubleAntiThallium.name=2х Пластина (Anti-Thallium)
